nh,clust,Amount_withdrawn_from_savings,Honey,land_in_acre,agri1c,profit_per_acre
1,4005,0,0,0.05,2092506.66666667,41850133.3333333
1,4009,0,0,5,1153542.5,230708.5
1,4081,80000,0,2,485790.843894739,242895.421947369
1,4149,0,0,24,4222448.33333333,175935.347222222
1,4152,5e+05,0,200,-5681739.32751727,-28408.6966375863
1,4205,0,0,0.05,-185328.333333333,-3706566.66666667
1,4355,0,0,0.05625,765406.666666667,13607229.6296296
1,4365,1200000,0,0.1,5367858.33333333,53678583.3333333
1,4372,1e+06,0,13,2983923.33333333,229532.564102564
1,4379,0,0,30,7060493.33333333,235349.777777778
1,4382,0,0,28,4829201.16439744,172471.470157052
1,4385,1550000,0,26,21282875.4761905,818572.133699634
1,4385,1785000,0,26,21282875.4761905,818572.133699634
1,4399,0,0,0.15625,3257750.03919861,20849600.2508711
1,4405,50000,0,0.1377411,1644614.28571429,11939895.1054862
1,4422,0,0,13,6908104.28571429,531392.637362637
1,4495,350000,0,0.1,2118664.33333333,21186643.3333333
1,4512,0,0,30,667400,22246.6666666667
1,4519,2e+05,0,20,914889.910714286,45744.4955357143
1,4529,0,0,2,235660.095238095,117830.047619048
1,4535,1200000,0,15,8007561.66666667,533837.444444444
1,4535,4e+05,0,15,8007561.66666667,533837.444444444
1,4555,0,0,0.625,1979884.28571429,3167814.85714286
1,4559,1800000,0,0.21875,676633.333333333,3093180.95238095
1,4582,0,0,3,377182.142857143,125727.380952381
1,4585,0,0,4,1282691.9047619,320672.976190476
1,4609,0,0,0.0375,2419578.57142857,64522095.2380952
1,4622,8e+05,0,8,1726861.96428571,215857.745535714
1,4639,150000,0,10,310966.666666667,31096.6666666667
1,4659,0,0,1,9333.33333333333,9333.33333333333
1,4689,0,0,36,381892.857142857,10608.1349206349
1,4699,70000,0,0.74380194,-78898.0952380953,-106074.064875517
1,4759,0,0,10,3800165.71428571,380016.571428571
1,4765,78000,0,0.01875,775712.083333333,41371311.1111111
1,4792,0,0,0.1836548,343824.142857143,1872121.73521815
1,4792,0,0,0.1836548,343824.142857143,1872121.73521815
1,4792,0,0,0.1836548,343824.142857143,1872121.73521815
1,4792,0,0,0.1836548,343824.142857143,1872121.73521815
1,4792,0,0,0.1836548,343824.142857143,1872121.73521815
1,4792,0,0,0.1836548,343824.142857143,1872121.73521815
1,4822,156500,0,4,2339721.9047619,584930.476190476
1,4822,0,0,4,2339721.9047619,584930.476190476
1,4862,0,0,4,-54750,-13687.5
1,4862,0,0,4,-54750,-13687.5
1,4862,0,0,4,-54750,-13687.5
1,4862,0,0,4,-54750,-13687.5
1,4862,0,0,4,-54750,-13687.5
1,4862,0,0,4,-54750,-13687.5
1,4879,0,0,6,345276.904761905,57546.1507936508
1,4879,0,0,6,345276.904761905,57546.1507936508
1,4879,0,0,6,345276.904761905,57546.1507936508
1,4879,0,0,6,345276.904761905,57546.1507936508
1,4879,0,0,6,345276.904761905,57546.1507936508
1,4879,0,0,6,345276.904761905,57546.1507936508
1,4885,0,0,9,864679.404761905,96075.4894179894
1,4895,0,0,5,619538.690476191,123907.738095238
1,4905,0,0,2,563134.523809524,281567.261904762
1,4922,7e+05,0,1,-839821.428571429,-839821.428571429
1,4979,45000,0,5,2694083.33333333,538816.666666667
1,4989,0,0,6,522545.714285714,87090.9523809524
1,4989,0,0,6,522545.714285714,87090.9523809524
1,4989,0,0,6,522545.714285714,87090.9523809524
1,4989,0,0,6,522545.714285714,87090.9523809524
1,4989,0,0,6,522545.714285714,87090.9523809524
1,4989,0,0,6,522545.714285714,87090.9523809524
1,4995,0,0,7,1153857.14285714,164836.734693878
1,4995,0,0,7,1153857.14285714,164836.734693878
1,4995,0,0,7,1153857.14285714,164836.734693878
1,4995,0,0,7,1153857.14285714,164836.734693878
1,4995,0,0,7,1153857.14285714,164836.734693878
1,4995,0,0,7,1153857.14285714,164836.734693878
10,4042,140000,0,191,1109875.22619048,5810.86505858888
10,4042,2e+05,0,191,1109875.22619048,5810.86505858888
10,4069,0,0,0.3673096,2627970,7154645.56330681
10,4152,1e+05,0,0.03673096,-166032.142857143,-4520223.3444795
10,4199,0,0,0.11875,357224.166666667,3008203.50877193
10,4199,431000,0,0.11875,357224.166666667,3008203.50877193
10,4365,0,0,0.03125,1661050,53153600
10,4372,0,0,20,5954264.28571429,297713.214285714
10,4372,2e+05,0,20,5954264.28571429,297713.214285714
10,4382,0,0,2,4313908.57142857,2156954.28571429
10,4385,0,0,6,6064012.85714286,1010668.80952381
10,4405,2e+05,0,20,3611571.42857143,180578.571428571
10,4408,0,0,0.00625,564904.523809524,90384723.8095238
10,4462,5e+05,0,0.0375,603130.736555682,16083486.3081515
10,4479,7e+05,0,1750,1699884.28571429,971.362448979592
10,4495,150000,0,63,10983869,174347.126984127
10,4495,2e+05,0,63,10983869,174347.126984127
10,4495,7e+05,0,63,10983869,174347.126984127
10,4505,0,0,2,-153401.078095238,-76700.5390476191
10,4532,8e+05,0,100,10541505,105415.05
10,4539,240000,0,20,5686258.92857143,284312.946428571
10,4539,120000,0,20,5686258.92857143,284312.946428571
10,4559,0,0,0.0375,3260532.14285714,86947523.8095238
10,4639,2e+05,0,1,509620.116087501,509620.116087501
10,4649,8e+05,0,50,14950110,299002.2
10,4659,5e+06,0,20,626500,31325
10,4695,0,0,15,192355,12823.6666666667
10,4790,0,0,50,-274670.864661654,-5493.41729323308
10,4790,0,0,50,-274670.864661654,-5493.41729323308
10,4790,0,0,50,-274670.864661654,-5493.41729323308
10,4790,0,0,50,-274670.864661654,-5493.41729323308
10,4790,0,0,50,-274670.864661654,-5493.41729323308
10,4790,0,0,50,-274670.864661654,-5493.41729323308
10,4819,50000,0,5,194361.904761905,38872.380952381
10,4822,58000,0,4,3111719.33333333,777929.833333333
10,4862,0,0,4,-37838.0952380952,-9459.52380952381
10,4862,0,0,4,-37838.0952380952,-9459.52380952381
10,4862,0,0,4,-37838.0952380952,-9459.52380952381
