nh,clust,Crop_18,Crop_19,Crop_22,Crop_23,Crop_24,Oil_Palm,Plantain,Banana,Orange,Cola_nut,Pineapple,Cassava,Yam,Cocoyam,Potatoes,Tomatoes,Okro,Garden_egg,Pepper,Leafy_vege,Other_vege,Onion,Avacado_pear,Mango,Pawpaw,Food_02,Food_03,Food_04,Food_05,Food_06,Food_07,Food_08,Food_09,Food_10,Food_11,Equip_22,Equip_31,Equip_41,Equip_42,Equip_51,Equip_61,Equip_62,Equip_63,Equip_64,Equip_65,profit_per_acre,ever_attend_school,Can_do_written_calculation.x,Doing_same_work,Father_do_same_work,Fetching_wood,Dispose_garbage,Born_here,eanum,agent_visit_1,agriculture_coop_1,cooperative_1,girl_prop_1,girl_prop_2,girl_prop_3,girl_prop_4,girl_prop_5,has_adultprogram_1,has_electric_1,has_pipe_1,has_restaurant_1,has_seniorsch_1,junior_loc_1,migrant_from_1,migrant_from_2,migrant_from_3,migrate1_activity_1,migrate1_activity_2,migrate1_activity_3,migrate1_activity_4,migrate1_activity_6,migrate1_activity_7,migrate2_activity_1,migrate2_activity_2,migrate2_activity_3,migrate2_activity_4,migrate2_activity_5,migrate2_activity_6,migrate2_activity_7,migrate2_activity_8,move_1,move_2,move_3,rice_husking_1,s2q17_1,s2q27_1,s3q1_1,s3q23_1,s5bq15_1,s5bq17_1,s5bq23_1,s5bq5_1,sch_private_1,sch_private_2,school_gender_1,school_gender_2,school_gender_3,sharecropper_1,sharecropper_prop_1,sharecropper_prop_2,sharecropper_prop_3,use_insecticides_1,s1q1,s2q22,s2q25,s3q12,distance_seniorschool,distance_agricenter,tracer_num,Honey,s8aq6,s8aq10,s8aq14,s8aq15,Harvest_Jan,Harvest_Feb,Harvest_Mar,Harvest_Apr,Harvest_May,Harvest_Jun,Harvest_Jul,Harvest_Aug,Harvest_Sep,Harvest_Oct,Harvest_Nov,Harvest_Dec,Sales_Jan,Sales_Feb,Sales_Mar,Sales_Apr,Sales_May,Sales_Jun,Sales_Jul,Sales_Aug,Sales_Sep,Sales_Oct,Sales_Nov,Sales_Dec,Consume_Jan,Consume_Feb,Consume_Mar,Consume_Apr,Consume_May,Consume_Jun,Consume_Jul,Consume_Aug,Consume_Sep,Consume_Oct,Consume_Nov,Consume_Dec,Employment_status,Read_Ghanaian_language.x,Work_for_whom_in_main_job,Work_for_whom,Region_ID,Outside_wall_material,Sell_any_processed_food
1,4009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230708.5,1,1,0,0,1,2,1,9,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,529,23,0,0,23,26,0,0,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,2,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,5,2,1,0,1,5,0
1,4059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-56666.6666666667,1,1,1,1,2,1,1,59,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,899,32,0,0,8,48,4,0,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1,1,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1,4,6,1,3,5,2
1,4065,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,125430.793650794,2,2,0,0,1,2,2,65,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,53,0,0,5,16,16,0,0,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,1.74980057982641e+100,5,1,1,0,5,1,2
1,4079,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,71251.4102564103,2,2,0,0,1,2,1,79,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,850,1,0,0,3,30,0,0,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,2,2,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,2,2,2,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,5,1,1,0,4,1,2
1,4081,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242895.421947369,1,1,1,2,2,2,1,81,1,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,302,13,5,0,5,0,1,0,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,1.74980057982641e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,2,2,2,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,5,3,1,9,4,5,4
1,4149,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175935.347222222,1,2,1,2,1,2,2,149,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,5061,3,0,0,0,0,1,0,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,5.24940173947923e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,3.49960115965282e+100,1.74980057982641e+100,5.24940173947923e+100,6.99920231930564e+100,5.24940173947923e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,5.24940173947923e+100,5.24940173947923e+100,6.99920231930564e+100,6.99920231930564e+100,3.49960115965282e+100,1.74980057982641e+100,5.24940173947923e+100,3.49960115965282e+100,3.49960115965282e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,5.24940173947923e+100,5.24940173947923e+100,5.24940173947923e+100,5.24940173947923e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,5,1,1,9,5,1,2
1,4152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-28408.6966375863,1,1,1,1,2,2,2,152,0,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,5699,0,0,0,12,0,12,0,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1,1,1.74980057982641e+100,1.74980057982641e+100,1,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1,1,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1,1,5,3,1,1,4,5,2
1,4372,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229532.564102564,1,1,0,0,2,2,1,372,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,829,52,0,0,52,52,0,0,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,5.24940173947923e+100,6.99920231930564e+100,6.99920231930564e+100,5.24940173947923e+100,3.49960115965282e+100,5.24940173947923e+100,6.99920231930564e+100,5.24940173947923e+100,5.24940173947923e+100,6.99920231930564e+100,6.99920231930564e+100,5.24940173947923e+100,5.24940173947923e+100,6.99920231930564e+100,6.99920231930564e+100,5.24940173947923e+100,1.74980057982641e+100,1.74980057982641e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,5.24940173947923e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,5.24940173947923e+100,3.49960115965282e+100,3.49960115965282e+100,3.49960115965282e+100,5,2,1,0,1,5,0
1,4379,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,235349.777777778,2,2,0,0,2,2,2,379,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,229,18,5,4,0,8,0,0,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,5.24940173947923e+100,5.24940173947923e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,3.49960115965282e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,5.24940173947923e+100,5.24940173947923e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,3.49960115965282e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,5.24940173947923e+100,5.24940173947923e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,3.49960115965282e+100,5,2,1,0,1,1,0
1,4382,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,172471.470157052,1,1,0,0,1,2,2,382,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,544,8,8,8,23,8,0,0,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,1.74980057982641e+100,5.24940173947923e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,5.24940173947923e+100,5.24940173947923e+100,6.99920231930564e+100,5.24940173947923e+100,3.49960115965282e+100,1.74980057982641e+100,5.24940173947923e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,5.24940173947923e+100,6.99920231930564e+100,5.24940173947923e+100,3.49960115965282e+100,4,1.74980057982641e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,6.99920231930564e+100,5.24940173947923e+100,5,2,1,0,1,2,2
