"","clust","nh","land_in_acre","agri1c","profit_per_acre"
"15",4009,1,5,1153542.5,230708.5
"17",4009,15,5,0,0
"18",4009,2,6,0,0
"31",4042,10,191,1109875.22619048,5810.86505858888
"33",4042,18,20,170947.471453896,8547.37357269478
"34",4042,2,30,197729.916666667,6590.99722222222
"36",4044,11,4,642641.428571429,160660.357142857
"37",4044,12,15,-54700,-3646.66666666667
"38",4044,15,2,6514.28571428571,3257.14285714286
"39",4044,16,1,36694.2857142857,36694.2857142857
"40",4044,17,6,113114.285714286,18852.380952381
"41",4044,18,4,968274.285714286,242068.571428571
"42",4044,19,12,899818.571428571,74984.880952381
"43",4044,20,1,702.857142857141,702.857142857141
"44",4044,5,6,251714.285714286,41952.380952381
"47",4049,4,10,2857023.71428571,285702.371428571
"57",4059,1,3,-170000,-56666.6666666667
"58",4059,10,4,-196000,-49000
"59",4059,11,3,-92990.5172413793,-30996.8390804598
"62",4059,2,4,-85107.1428571429,-21276.7857142857
"63",4059,3,4,-419640.501253133,-104910.125313283
"64",4059,7,4,-122000,-30500
"65",4059,8,6,-159821.428571429,-26636.9047619048
"66",4059,9,10,-795120.40018315,-79512.040018315
"67",4062,10,3,-104000,-34666.6666666667
"68",4062,11,5,630735.144307744,126147.028861549
"69",4062,12,3,38000,12666.6666666667
"71",4062,16,5,625000,125000
"72",4062,17,16,2423195.22857143,151449.701785714
"73",4062,20,1,-20175,-20175
"75",4062,6,1,-34986.6666666667,-34986.6666666667
"76",4062,7,2,1e+05,50000
"77",4062,8,5,-28000,-5600
"78",4065,1,3,376292.380952381,125430.793650794
"79",4065,14,250,76770.7246376812,307.082898550725
"81",4065,2,2,471647.619047619,235823.80952381
"82",4065,3,63,1162942.85714286,18459.410430839
"84",4065,9,200,670659.285714286,3353.29642857143
"87",4069,2,35,1834043.0952381,52401.231292517
"91",4072,4,1,-98525.7142857143,-98525.7142857143
"104",4079,1,13,926268.333333333,71251.4102564103
"105",4079,10,2,179000,89500
"106",4079,12,28,7061760,252205.714285714
"107",4079,13,15,394475.974920635,26298.3983280423
"108",4079,14,1,-13000,-13000
"110",4079,16,2,474583.333333333,237291.666666667
"112",4079,18,3,563500,187833.333333333
"113",4079,19,3,255500,85166.6666666667
"115",4079,4,2,465600,232800
"116",4079,5,8,123000,15375
"117",4079,6,1,80300,80300
"120",4081,1,2,485790.843894739,242895.421947369
"121",4081,11,2,171351.190476191,85675.5952380953
"123",4081,13,11,211513.571428571,19228.5064935065
"124",4081,14,2,75810,37905
"125",4081,15,2,133923.714285714,66961.8571428571
"126",4081,18,2,31671.4285714286,15835.7142857143
"127",4081,19,4,745355,186338.75
"128",4081,2,13,715470,55036.1538461538
"131",4081,4,2,377195.714285714,188597.857142857
