nh,clust,Processed_food_code,Sell_any_processed_food
1,4002,11,2
2,4002,5,1
3,4002,11,2
4,4002,11,1
6,4002,11,2
7,4002,1,2
9,4002,11,2
10,4002,11,1
11,4002,7,2
11,4002,11,2
12,4002,11,1
18,4002,11,1
19,4002,7,2
1,4005,1,2
4,4005,11,2
4,4005,11,2
5,4005,11,2
6,4005,8,2
7,4005,7,1
7,4005,11,2
8,4005,5,2
8,4005,11,2
11,4005,11,1
12,4005,11,2
14,4005,1,2
14,4005,11,1
15,4005,11,2
19,4005,1,2
20,4005,11,2
3,4009,8,1
6,4009,8,1
7,4009,8,2
8,4009,8,2
9,4009,8,1
9,4009,11,2
12,4009,8,1
13,4009,8,1
14,4009,8,1
16,4009,8,2
17,4009,8,2
17,4009,11,2
18,4009,8,2
18,4009,11,2
19,4009,8,2
19,4009,11,2
20,4009,8,1
20,4009,11,1
21,4009,11,2
2,4012,7,1
5,4012,1,2
9,4012,11,1
17,4012,8,2
3,4015,11,2
15,4015,11,1
17,4015,11,1
3,4019,8,2
5,4019,8,2
7,4019,10,2
9,4019,8,2
1,4022,10,2
2,4022,10,2
4,4022,10,1
5,4022,11,1
12,4022,5,2
17,4022,5,2
19,4022,10,2
20,4022,5,2
20,4022,10,2
2,4025,7,2
3,4025,7,2
6,4025,7,2
7,4025,7,2
15,4025,7,2
17,4025,7,2
2,4029,1,2
3,4029,1,2
4,4029,1,2
5,4029,1,2
7,4029,1,2
8,4029,1,2
10,4029,1,2
11,4029,1,2
12,4029,1,2
13,4029,1,2
15,4029,1,2
16,4029,1,1
19,4029,1,2
1,4032,10,2
3,4032,10,2
4,4032,11,2
4,4032,11,2
7,4032,10,2
10,4032,10,2
12,4032,10,2
14,4032,10,2
15,4032,10,2
16,4032,10,2
8,4035,8,1
9,4035,8,2
11,4035,10,1
15,4035,8,2
15,4035,10,2
16,4035,8,2
16,4035,10,2
16,4035,10,2
17,4035,8,2
17,4035,10,2
17,4035,10,2
19,4035,7,2
20,4035,8,1
3,4039,10,2
4,4039,10,1
4,4039,10,2
6,4039,10,2
11,4039,10,2
11,4039,10,1
12,4039,10,2
17,4039,8,2
17,4039,10,1
3,4042,10,2
6,4042,8,2
13,4042,8,2
1,4044,1,2
1,4044,5,2
1,4044,5,2
1,4044,7,1
2,4044,1,2
2,4044,5,2
3,4044,1,2
3,4044,5,2
3,4044,7,2
4,4044,1,2
4,4044,5,2
4,4044,11,2
5,4044,1,2
5,4044,5,2
5,4044,11,2
6,4044,1,2
6,4044,5,2
7,4044,1,2
7,4044,7,2
8,4044,1,2
9,4044,1,2
10,4044,1,2
11,4044,1,2
11,4044,5,2
11,4044,11,2
12,4044,1,2
12,4044,5,2
13,4044,1,2
13,4044,5,2
13,4044,11,2
14,4044,1,2
14,4044,5,2
15,4044,1,2
15,4044,5,2
15,4044,11,2
16,4044,1,2
16,4044,1,2
16,4044,1,2
17,4044,1,2
17,4044,5,2
18,4044,1,1
18,4044,5,2
19,4044,1,2
19,4044,5,2
20,4044,1,2
20,4044,5,2
4,4049,7,2
10,4049,8,2
11,4049,8,2
16,4049,8,2
17,4049,8,2
18,4049,8,2
20,4049,8,2
20,4049,8,2
2,4052,7,2
3,4052,7,1
7,4052,11,2
11,4052,9,1
1,4055,1,2
1,4055,8,2
2,4055,1,1
2,4055,8,2
3,4055,1,2
3,4055,8,2
4,4055,1,2
5,4055,5,1
5,4055,8,2
6,4055,1,2
6,4055,8,2
8,4055,1,2
8,4055,5,2
9,4055,1,2
10,4055,1,2
11,4055,1,1
11,4055,5,1
12,4055,1,2
12,4055,5,1
12,4055,8,2
13,4055,1,1
13,4055,5,2
14,4055,1,2
14,4055,5,1
15,4055,1,2
15,4055,5,2
17,4055,1,2
17,4055,2,1
18,4055,1,2
18,4055,5,1
19,4055,5,2
19,4055,8,2
20,4055,1,2
20,4055,5,1
20,4055,8,1
25,4055,1,1
25,4055,5,2
1,4059,5,2
2,4059,1,2
2,4059,5,2
3,4059,1,2
3,4059,5,2
4,4059,6,2
8,4059,1,2
8,4059,5,2
9,4059,5,2
11,4059,1,2
11,4059,5,2
14,4059,1,2
14,4059,5,2
14,4059,11,1
15,4059,5,2
16,4059,1,2
16,4059,5,2
17,4059,6,1
2,4062,1,2
2,4062,5,2
3,4062,1,1
3,4062,1,2
3,4062,5,2
6,4062,1,2
6,4062,5,2
11,4062,1,2
11,4062,5,2
12,4062,5,2
15,4062,1,1
15,4062,5,2
16,4062,7,1
17,4062,1,2
17,4062,5,2
19,4062,5,2
20,4062,1,2
20,4062,5,2
1,4065,1,2
2,4065,1,2
3,4065,1,2
5,4065,1,2
6,4065,1,2
7,4065,1,2
7,4065,1,2
8,4065,1,2
9,4065,1,2
10,4065,1,2
11,4065,1,2
13,4065,1,1
13,4065,1,1
14,4065,1,2
15,4065,1,2
16,4065,1,2
17,4065,1,2
20,4065,1,2
21,4065,1,2
23,4065,1,2
1,4069,1,2
1,4069,5,2
2,4069,1,2
2,4069,5,2
3,4069,1,2
4,4069,1,2
4,4069,8,2
5,4069,1,2
5,4069,5,2
6,4069,1,2
7,4069,1,2
7,4069,5,2
8,4069,1,2
8,4069,5,2
9,4069,1,2
10,4069,1,2
11,4069,1,2
12,4069,1,2
12,4069,5,2
13,4069,1,2
13,4069,5,2
14,4069,1,2
14,4069,5,2
15,4069,1,2
15,4069,8,2
16,4069,1,2
16,4069,1,2
17,4069,1,2
17,4069,10,1
18,4069,1,2
19,4069,1,2
20,4069,1,2
1,4072,1,2
2,4072,1,2
3,4072,1,2
4,4072,1,2
5,4072,1,2
5,4072,11,1
7,4072,1,2
8,4072,1,2
8,4072,7,2
9,4072,1,2
10,4072,1,2
11,4072,1,2
12,4072,1,1
12,4072,3,2
13,4072,1,1
14,4072,1,2
14,4072,10,2
15,4072,1,2
15,4072,3,2
16,4072,1,2
16,4072,3,2
17,4072,1,2
18,4072,1,2
19,4072,1,2
20,4072,1,2
21,4072,1,2
1,4075,1,2
1,4075,8,2
2,4075,1,2
3,4075,1,2
3,4075,8,1
4,4075,1,2
4,4075,8,2
5,4075,1,2
5,4075,5,2
6,4075,1,2
7,4075,8,2
8,4075,1,2
8,4075,8,2
9,4075,1,2
9,4075,8,2
10,4075,1,2
