nh,clust,HH_consume_any_home_produce
1,4002,1
1,4002,1
1,4002,1
1,4002,1
1,4002,1
1,4002,1
1,4002,1
1,4002,1
1,4002,1
2,4002,1
2,4002,1
3,4002,1
4,4002,1
4,4002,1
4,4002,1
4,4002,1
4,4002,1
4,4002,1
4,4002,1
4,4002,1
4,4002,1
4,4002,1
4,4002,1
4,4002,1
5,4002,1
5,4002,1
5,4002,1
5,4002,1
5,4002,1
5,4002,1
5,4002,1
5,4002,1
6,4002,1
6,4002,1
6,4002,1
6,4002,1
6,4002,1
7,4002,1
7,4002,1
7,4002,1
7,4002,1
7,4002,1
7,4002,1
7,4002,1
7,4002,1
8,4002,1
8,4002,1
8,4002,1
8,4002,1
8,4002,1
9,4002,1
9,4002,1
9,4002,1
9,4002,1
9,4002,1
9,4002,1
9,4002,1
9,4002,1
9,4002,1
9,4002,1
9,4002,1
9,4002,1
11,4002,1
11,4002,1
11,4002,1
11,4002,1
11,4002,1
12,4002,1
12,4002,1
12,4002,1
13,4002,1
13,4002,1
13,4002,1
13,4002,1
14,4002,1
14,4002,1
14,4002,1
14,4002,1
14,4002,1
14,4002,1
17,4002,1
17,4002,1
17,4002,1
17,4002,1
17,4002,1
17,4002,1
18,4002,1
18,4002,1
19,4002,1
19,4002,1
19,4002,1
19,4002,1
1,4005,1
1,4005,1
1,4005,1
1,4005,1
1,4005,1
1,4005,1
1,4005,1
1,4005,1
1,4005,1
2,4005,1
2,4005,1
2,4005,1
3,4005,1
4,4005,1
4,4005,1
4,4005,1
4,4005,1
4,4005,1
4,4005,1
4,4005,1
5,4005,1
6,4005,1
6,4005,1
6,4005,1
6,4005,1
6,4005,1
7,4005,1
7,4005,1
7,4005,1
7,4005,1
7,4005,1
7,4005,1
7,4005,1
7,4005,1
8,4005,1
8,4005,1
8,4005,1
8,4005,1
8,4005,1
8,4005,1
8,4005,1
9,4005,1
9,4005,1
9,4005,1
9,4005,1
9,4005,1
11,4005,1
11,4005,1
11,4005,1
11,4005,1
11,4005,1
11,4005,1
11,4005,1
11,4005,1
11,4005,1
11,4005,1
11,4005,1
11,4005,1
11,4005,1
11,4005,1
11,4005,1
11,4005,1
12,4005,1
12,4005,1
12,4005,1
12,4005,1
13,4005,1
13,4005,1
13,4005,1
13,4005,1
14,4005,1
14,4005,1
14,4005,1
14,4005,1
14,4005,1
14,4005,1
14,4005,1
14,4005,1
14,4005,1
14,4005,1
14,4005,1
14,4005,1
14,4005,1
15,4005,1
15,4005,1
15,4005,1
15,4005,1
16,4005,1
16,4005,1
16,4005,1
16,4005,1
16,4005,2
16,4005,1
16,4005,1
16,4005,1
16,4005,1
17,4005,1
17,4005,1
18,4005,1
18,4005,1
18,4005,1
18,4005,1
18,4005,1
18,4005,1
19,4005,1
19,4005,1
19,4005,1
19,4005,1
19,4005,1
19,4005,1
19,4005,1
19,4005,1
19,4005,1
19,4005,1
20,4005,1
20,4005,1
20,4005,1
20,4005,1
20,4005,1
20,4005,1
20,4005,1
20,4005,1
20,4005,1
1,4009,1
1,4009,1
1,4009,1
1,4009,1
1,4009,1
1,4009,1
1,4009,1
1,4009,1
1,4009,1
1,4009,1
3,4009,1
3,4009,1
3,4009,1
3,4009,1
3,4009,1
3,4009,1
3,4009,1
3,4009,1
3,4009,1
3,4009,1
3,4009,1
3,4009,1
3,4009,1
3,4009,1
3,4009,1
3,4009,1
4,4009,1
4,4009,1
4,4009,1
4,4009,1
4,4009,1
4,4009,1
4,4009,1
4,4009,1
6,4009,1
6,4009,1
6,4009,1
6,4009,2
6,4009,1
6,4009,1
6,4009,1
6,4009,1
6,4009,1
7,4009,1
7,4009,1
7,4009,1
7,4009,1
7,4009,1
7,4009,1
7,4009,1
7,4009,1
7,4009,1
7,4009,1
7,4009,1
8,4009,1
8,4009,1
8,4009,1
8,4009,1
8,4009,1
8,4009,1
8,4009,1
8,4009,1
8,4009,1
8,4009,1
9,4009,1
9,4009,1
9,4009,1
9,4009,1
9,4009,1
9,4009,1
9,4009,1
9,4009,1
9,4009,1
9,4009,1
9,4009,1
9,4009,1
9,4009,1
9,4009,1
9,4009,1
11,4009,1
11,4009,1
11,4009,1
11,4009,1
11,4009,1
11,4009,1
11,4009,1
11,4009,1
12,4009,1
12,4009,1
12,4009,1
12,4009,1
12,4009,1
12,4009,1
12,4009,1
12,4009,1
12,4009,1
12,4009,1
13,4009,1
13,4009,1
13,4009,1
13,4009,1
13,4009,1
13,4009,1
13,4009,1
13,4009,1
13,4009,1
13,4009,1
13,4009,1
13,4009,1
13,4009,1
13,4009,1
13,4009,1
13,4009,1
14,4009,1
14,4009,1
14,4009,1
14,4009,1
14,4009,1
16,4009,1
16,4009,1
16,4009,1
16,4009,1
16,4009,1
16,4009,1
16,4009,1
16,4009,1
16,4009,1
16,4009,1
16,4009,1
17,4009,1
17,4009,1
17,4009,1
17,4009,1
17,4009,1
17,4009,1
17,4009,1
17,4009,1
17,4009,1
17,4009,1
17,4009,1
18,4009,1
18,4009,1
18,4009,1
18,4009,1
18,4009,1
18,4009,1
18,4009,1
18,4009,1
19,4009,1
19,4009,1
19,4009,1
19,4009,1
19,4009,1
19,4009,1
19,4009,1
19,4009,1
19,4009,1
19,4009,1
19,4009,1
19,4009,1
20,4009,1
20,4009,1
20,4009,1
20,4009,1
20,4009,1
20,4009,1
20,4009,1
21,4009,1
21,4009,1
21,4009,1
21,4009,1
21,4009,1
21,4009,1
21,4009,1
21,4009,1
21,4009,1
21,4009,1
21,4009,1
21,4009,1
21,4009,1
21,4009,1
21,4009,1
21,4009,1
21,4009,1
3,4012,1
3,4012,1
3,4012,1
3,4012,1
3,4012,1
3,4012,1
3,4012,1
5,4012,1
5,4012,1
5,4012,1
6,4012,1
7,4012,1
7,4012,1
8,4012,1
8,4012,1
8,4012,1
8,4012,1
8,4012,1
8,4012,1
8,4012,1
8,4012,1
8,4012,1
9,4012,1
9,4012,1
9,4012,1
9,4012,1
9,4012,1
9,4012,1
9,4012,1
9,4012,1
9,4012,1
10,4012,1
10,4012,1
10,4012,1
10,4012,1
10,4012,1
10,4012,1
11,4012,1
11,4012,1
11,4012,1
11,4012,1
12,4012,1
12,4012,1
12,4012,1
12,4012,1
12,4012,1
13,4012,1
13,4012,1
13,4012,1
13,4012,1
14,4012,1
14,4012,1
14,4012,1
14,4012,1
14,4012,1
14,4012,1
14,4012,1
14,4012,1
15,4012,1
15,4012,1
15,4012,1
15,4012,1
15,4012,1
15,4012,1
15,4012,1
15,4012,1
15,4012,1
15,4012,1
15,4012,1
15,4012,1
16,4012,1
16,4012,1
17,4012,1
17,4012,1
17,4012,1
17,4012,1
18,4012,1
18,4012,1
18,4012,1
18,4012,1
18,4012,1
19,4012,1
19,4012,1
19,4012,1
19,4012,1
19,4012,1
20,4012,1
20,4012,1
20,4012,1
20,4012,1
20,4012,1
13,4015,1
1,4019,1
1,4019,1
1,4019,1
1,4019,1
1,4019,1
1,4019,1
1,4019,1
1,4019,1
1,4019,1
1,4019,1
1,4019,1
1,4019,1
1,4019,1
1,4019,1
3,4019,1
3,4019,1
3,4019,1
3,4019,1
3,4019,1
3,4019,1
3,4019,1
3,4019,1
3,4019,1
3,4019,1
3,4019,1
3,4019,1
3,4019,1
3,4019,1
4,4019,1
4,4019,1
4,4019,1
4,4019,1
4,4019,1
5,4019,1
5,4019,1
5,4019,1
5,4019,1
5,4019,1
5,4019,1
5,4019,1
5,4019,1
5,4019,1
5,4019,1
5,4019,1
5,4019,1
5,4019,1
6,4019,1
6,4019,1
6,4019,1
6,4019,1
6,4019,1
6,4019,1
6,4019,1
6,4019,1
6,4019,1
6,4019,1
6,4019,1
6,4019,1
7,4019,1
7,4019,1
7,4019,1
7,4019,1
7,4019,1
7,4019,1
7,4019,1
7,4019,1
7,4019,1
9,4019,1
9,4019,1
9,4019,1
9,4019,1
9,4019,1
9,4019,1
9,4019,1
9,4019,1
9,4019,1
9,4019,1
9,4019,1
9,4019,1
9,4019,1
9,4019,1
9,4019,1
9,4019,1
9,4019,1
9,4019,1
9,4019,1
10,4019,1
10,4019,1
10,4019,1
10,4019,1
10,4019,1
10,4019,1
10,4019,1
10,4019,1
10,4019,1
10,4019,1
10,4019,1
10,4019,1
10,4019,1
10,4019,1
11,4019,1
11,4019,1
11,4019,1
11,4019,1
11,4019,1
11,4019,1
11,4019,1
11,4019,1
11,4019,1
11,4019,1
11,4019,1
11,4019,1
12,4019,1
12,4019,1
12,4019,1
12,4019,1
12,4019,1
12,4019,1
12,4019,1
12,4019,1
12,4019,1
13,4019,1
13,4019,1
13,4019,1
13,4019,1
13,4019,1
13,4019,1
13,4019,1
13,4019,1
13,4019,1
13,4019,1
15,4019,1
15,4019,1
15,4019,1
15,4019,1
15,4019,1
16,4019,1
16,4019,1
16,4019,1
16,4019,1
16,4019,1
16,4019,1
17,4019,1
17,4019,1
17,4019,1
17,4019,1
17,4019,1
17,4019,1
17,4019,1
17,4019,1
17,4019,1
17,4019,1
17,4019,1
18,4019,1
18,4019,1
18,4019,1
18,4019,1
18,4019,1
18,4019,1
18,4019,1
18,4019,1
18,4019,1
19,4019,1
19,4019,1
19,4019,1
19,4019,1
19,4019,1
19,4019,1
19,4019,1
20,4019,1
20,4019,1
20,4019,1
20,4019,1
20,4019,1
20,4019,1
20,4019,1
20,4019,1
20,4019,1
20,4019,1
20,4019,1
1,4022,1
1,4022,1
1,4022,1
1,4022,1
1,4022,1
1,4022,1
1,4022,1
1,4022,1
1,4022,1
1,4022,1
1,4022,1
1,4022,1
1,4022,1
1,4022,1
1,4022,1
2,4022,1
2,4022,1
2,4022,1
2,4022,1
2,4022,1
2,4022,1
2,4022,1
2,4022,1
2,4022,1
2,4022,1
2,4022,1
2,4022,1
2,4022,1
2,4022,1
2,4022,1
3,4022,1
3,4022,1
3,4022,1
3,4022,1
3,4022,1
3,4022,1
3,4022,1
3,4022,1
3,4022,1
3,4022,1
3,4022,1
3,4022,1
3,4022,1
4,4022,1
4,4022,1
4,4022,1
4,4022,1
4,4022,1
4,4022,1
4,4022,1
4,4022,1
4,4022,1
4,4022,1
4,4022,1
4,4022,1
4,4022,1
5,4022,1
5,4022,1
5,4022,1
5,4022,1
5,4022,1
5,4022,1
5,4022,1
5,4022,1
5,4022,1
5,4022,1
5,4022,1
5,4022,1
5,4022,1
5,4022,1
5,4022,1
6,4022,1
6,4022,1
6,4022,1
6,4022,1
6,4022,1
6,4022,1
6,4022,1
6,4022,1
6,4022,1
6,4022,1
6,4022,1
6,4022,1
6,4022,1
6,4022,1
6,4022,1
6,4022,1
6,4022,1
6,4022,1
6,4022,1
7,4022,1
7,4022,1
7,4022,1
7,4022,1
7,4022,1
7,4022,1
7,4022,1
7,4022,1
7,4022,1
7,4022,1
7,4022,1
7,4022,1
7,4022,1
8,4022,1
8,4022,1
8,4022,1
8,4022,1
8,4022,1
8,4022,1
8,4022,1
8,4022,1
8,4022,1
8,4022,1
8,4022,1
8,4022,1
8,4022,1
8,4022,1
9,4022,1
9,4022,1
9,4022,1
9,4022,1
9,4022,1
9,4022,1
9,4022,1
9,4022,1
9,4022,1
9,4022,1
9,4022,1
9,4022,1
9,4022,1
9,4022,1
9,4022,1
9,4022,1
10,4022,1
10,4022,1
10,4022,1
10,4022,1
10,4022,1
10,4022,1
10,4022,1
10,4022,1
10,4022,1
10,4022,1
10,4022,1
10,4022,1
10,4022,1
10,4022,1
10,4022,1
10,4022,1
10,4022,1
10,4022,1
11,4022,1
11,4022,1
11,4022,1
11,4022,1
11,4022,1
11,4022,1
11,4022,1
11,4022,1
11,4022,1
11,4022,1
11,4022,1
11,4022,1
11,4022,1
11,4022,1
11,4022,1
12,4022,1
12,4022,1
12,4022,1
12,4022,1
12,4022,1
12,4022,1
12,4022,1
12,4022,1
12,4022,1
12,4022,1
12,4022,1
12,4022,1
12,4022,1
12,4022,1
13,4022,1
13,4022,1
13,4022,1
13,4022,1
13,4022,1
13,4022,1
13,4022,1
13,4022,1
13,4022,1
13,4022,1
14,4022,1
14,4022,1
14,4022,1
14,4022,1
14,4022,1
14,4022,1
14,4022,1
14,4022,1
14,4022,1
15,4022,1
15,4022,1
15,4022,1
15,4022,1
15,4022,1
15,4022,1
15,4022,1
15,4022,1
15,4022,1
15,4022,1
15,4022,1
15,4022,1
15,4022,1
16,4022,1
16,4022,1
16,4022,1
16,4022,1
16,4022,1
16,4022,1
16,4022,1
16,4022,1
16,4022,1
17,4022,1
17,4022,1
17,4022,1
17,4022,1
17,4022,1
17,4022,1
17,4022,1
17,4022,1
17,4022,1
17,4022,1
17,4022,1
17,4022,1
17,4022,1
17,4022,1
17,4022,1
17,4022,1
17,4022,1
17,4022,1
18,4022,1
18,4022,1
18,4022,1
18,4022,1
18,4022,1
18,4022,1
18,4022,1
18,4022,1
18,4022,1
18,4022,1
18,4022,1
18,4022,1
18,4022,1
19,4022,1
19,4022,1
19,4022,1
19,4022,1
19,4022,1
19,4022,1
19,4022,1
19,4022,1
19,4022,1
19,4022,1
19,4022,1
19,4022,1
19,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
20,4022,1
1,4025,1
1,4025,1
1,4025,1
1,4025,1
1,4025,1
1,4025,1
1,4025,1
2,4025,1
2,4025,1
2,4025,1
2,4025,1
3,4025,1
3,4025,1
3,4025,1
3,4025,1
6,4025,1
7,4025,1
10,4025,1
13,4025,1
14,4025,1
15,4025,1
17,4025,1
17,4025,1
17,4025,1
2,4029,1
2,4029,1
2,4029,1
2,4029,1
2,4029,1
2,4029,1
3,4029,1
3,4029,1
3,4029,1
