nh,clust,Any_livestock_been_sold,Any_livestock_been_bought
1,4002,2,2
1,4002,2,2
2,4002,2,2
4,4002,1,2
4,4002,1,1
4,4002,1,1
5,4002,1,2
5,4002,2,2
6,4002,2,2
6,4002,2,2
7,4002,2,1
7,4002,1,2
8,4002,1,2
9,4002,1,2
9,4002,2,2
9,4002,2,2
11,4002,2,2
12,4002,2,2
13,4002,2,2
14,4002,2,2
14,4002,2,2
17,4002,2,2
17,4002,2,2
18,4002,1,2
1,4005,2,2
7,4005,1,1
11,4005,1,2
14,4005,1,2
14,4005,2,2
15,4005,2,2
18,4005,1,2
19,4005,1,2
20,4005,2,1
6,4009,2,2
6,4009,2,2
8,4009,2,2
8,4009,2,2
9,4009,2,2
9,4009,2,2
12,4009,2,2
12,4009,2,2
16,4009,2,2
17,4009,1,2
19,4009,1,2
21,4009,2,2
21,4009,2,2
13,4015,2,2
1,4019,2,2
1,4019,2,2
4,4019,2,2
7,4019,1,1
7,4019,2,1
9,4019,1,2
11,4019,1,2
13,4019,2,2
13,4019,2,2
13,4019,2,2
17,4019,2,2
17,4019,2,2
18,4019,2,2
19,4019,2,2
20,4019,2,2
20,4019,2,2
2,4022,2,2
3,4022,2,2
4,4022,2,2
4,4022,2,2
4,4022,2,2
5,4022,2,2
7,4022,2,2
8,4022,1,2
9,4022,1,2
10,4022,2,2
10,4022,1,2
11,4022,2,2
11,4022,2,2
14,4022,2,2
15,4022,2,2
15,4022,2,2
16,4022,2,2
18,4022,2,2
19,4022,2,2
20,4022,1,1
20,4022,1,2
20,4022,1,2
20,4022,2,2
1,4025,1,2
2,4025,1,1
3,4025,1,2
6,4025,1,2
7,4025,1,2
10,4025,1,2
10,4025,1,2
13,4025,1,2
14,4025,1,2
14,4025,1,2
14,4025,1,2
3,4029,2,1
15,4029,2,2
15,4029,1,2
2,4032,1,2
3,4032,2,2
4,4032,1,2
4,4032,2,2
4,4032,2,2
5,4032,2,2
6,4032,2,2
7,4032,2,2
9,4032,2,2
10,4032,1,2
10,4032,2,2
11,4032,2,2
13,4032,2,2
15,4032,2,2
15,4032,2,2
17,4032,2,2
19,4032,1,2
1,4035,1,2
2,4035,1,2
9,4035,2,2
9,4035,2,2
17,4035,1,2
17,4035,2,2
19,4035,1,2
19,4035,2,2
4,4039,2,2
6,4039,2,2
7,4039,2,2
8,4039,2,2
9,4039,2,2
11,4039,1,2
12,4039,1,2
13,4039,2,2
13,4039,2,2
14,4039,2,2
17,4039,2,2
17,4039,2,2
17,4039,2,2
20,4039,2,2
2,4042,2,1
3,4042,2,1
3,4042,2,1
4,4042,2,2
5,4042,2,2
6,4042,1,2
9,4042,2,2
10,4042,1,1
10,4042,1,2
13,4042,2,2
14,4042,2,2
16,4042,2,2
16,4042,1,2
19,4042,2,1
19,4042,2,1
20,4042,1,2
21,4042,2,2
1,4044,2,2
1,4044,2,2
1,4044,2,2
1,4044,2,2
12,4044,2,2
12,4044,1,2
1,4049,2,2
5,4049,2,2
6,4049,2,2
9,4049,2,1
10,4049,2,2
10,4049,2,2
11,4049,2,2
11,4049,2,2
12,4049,1,2
15,4049,1,2
19,4049,2,2
19,4049,2,2
20,4049,2,2
2,4055,2,2
11,4055,2,2
13,4055,2,2
13,4055,2,2
15,4055,2,2
15,4055,2,2
9,4059,1,2
2,4062,2,2
3,4062,1,2
17,4062,2,2
17,4062,1,2
17,4062,1,2
17,4062,1,2
7,4065,1,2
7,4065,1,2
9,4065,1,2
10,4065,2,2
10,4065,2,2
10,4065,2,2
10,4065,2,2
4,4069,2,1
4,4069,2,2
7,4069,1,1
7,4069,1,1
8,4069,2,1
8,4069,1,2
12,4069,2,2
14,4069,1,1
14,4069,1,1
14,4069,2,1
16,4069,2,2
16,4069,1,2
16,4069,1,2
16,4069,1,2
17,4069,1,2
17,4069,2,1
18,4069,1,2
18,4069,1,2
18,4069,1,2
18,4069,1,2
2,4072,1,2
4,4072,2,2
4,4072,1,2
5,4072,2,2
8,4072,2,2
8,4072,1,2
9,4072,1,2
9,4072,1,2
11,4072,2,2
11,4072,2,2
11,4072,1,2
11,4072,2,2
12,4072,2,2
15,4072,2,2
15,4072,2,1
16,4072,2,2
18,4072,1,2
18,4072,2,2
19,4072,2,2
1,4075,1,2
1,4075,2,2
2,4075,1,1
2,4075,2,2
2,4075,1,2
3,4075,2,2
3,4075,2,2
3,4075,2,2
4,4075,2,2
5,4075,1,2
5,4075,2,2
5,4075,2,2
5,4075,2,2
6,4075,2,2
7,4075,2,2
9,4075,2,2
9,4075,2,2
10,4075,2,2
11,4075,2,2
13,4075,2,2
13,4075,2,2
14,4075,2,2
15,4075,2,2
15,4075,1,2
15,4075,2,2
16,4075,1,2
16,4075,2,1
18,4075,1,2
18,4075,2,2
19,4075,2,2
19,4075,2,2
20,4075,1,2
20,4075,1,2
22,4075,2,1
22,4075,2,2
1,4079,1,2
2,4079,1,2
5,4079,1,2
6,4079,1,2
15,4079,1,1
15,4079,1,2
16,4079,1,2
2,4081,2,2
3,4081,1,2
12,4081,1,2
12,4081,2,2
12,4081,1,2
3,4084,1,2
14,4084,1,2
2,4089,2,2
2,4089,2,2
7,4089,2,2
7,4089,1,2
7,4089,2,2
7,4089,2,2
9,4089,2,2
10,4089,2,1
12,4089,2,2
12,4089,1,1
12,4089,2,2
13,4089,2,2
13,4089,2,2
14,4089,2,1
14,4089,2,2
14,4089,1,2
16,4089,2,1
16,4089,2,2
18,4089,2,1
18,4089,1,2
18,4089,2,2
19,4089,2,2
1,4092,2,2
