nh,clust,agric_equipment_code,Member_own_any_equipment
11,4002,21,2
11,4002,22,2
11,4002,31,2
11,4002,41,2
11,4002,42,2
11,4002,51,2
11,4002,61,2
11,4002,63,1
11,4002,64,2
11,4002,65,2
14,4002,21,2
14,4002,22,2
14,4002,31,2
14,4002,41,2
14,4002,42,2
14,4002,51,2
14,4002,61,2
14,4002,62,2
14,4002,63,1
14,4002,64,2
14,4002,65,2
7,4005,22,2
7,4005,31,2
7,4005,41,2
7,4005,42,2
7,4005,51,2
7,4005,61,2
7,4005,62,2
7,4005,63,2
7,4005,64,2
7,4005,65,1
12,4005,21,2
12,4005,22,2
12,4005,31,2
12,4005,41,2
12,4005,42,2
12,4005,51,2
12,4005,61,2
12,4005,62,1
12,4005,63,2
12,4005,64,2
14,4005,21,2
14,4005,22,2
14,4005,31,2
14,4005,41,2
14,4005,42,2
14,4005,51,1
14,4005,61,2
14,4005,62,2
14,4005,63,2
14,4005,64,2
14,4005,65,2
1,4019,21,2
1,4019,22,2
1,4019,31,2
1,4019,41,2
1,4019,42,2
1,4019,51,2
1,4019,61,2
1,4019,62,2
1,4019,63,2
1,4019,64,2
1,4019,65,1
3,4019,21,2
3,4019,22,2
3,4019,31,2
3,4019,41,2
3,4019,42,2
3,4019,51,2
3,4019,61,2
3,4019,62,2
3,4019,63,2
3,4019,64,2
3,4019,65,1
4,4019,21,2
4,4019,22,2
4,4019,31,2
4,4019,41,2
4,4019,42,2
4,4019,51,2
4,4019,61,2
4,4019,62,2
4,4019,63,2
4,4019,64,2
4,4019,65,1
5,4019,21,2
5,4019,22,2
5,4019,31,2
5,4019,41,2
5,4019,42,2
5,4019,51,2
5,4019,61,2
5,4019,62,2
5,4019,63,2
5,4019,64,2
5,4019,65,1
6,4019,21,2
6,4019,22,2
6,4019,31,2
6,4019,42,2
6,4019,51,2
6,4019,61,2
6,4019,62,2
6,4019,63,2
6,4019,64,2
6,4019,65,1
7,4019,21,2
7,4019,22,2
7,4019,31,2
7,4019,41,2
7,4019,42,2
7,4019,51,2
7,4019,61,2
7,4019,62,2
7,4019,63,2
7,4019,64,2
7,4019,65,1
9,4019,21,2
9,4019,22,2
9,4019,31,2
9,4019,41,2
9,4019,42,2
9,4019,51,2
9,4019,61,2
9,4019,62,2
9,4019,63,2
9,4019,64,2
9,4019,65,1
10,4019,21,2
10,4019,22,2
10,4019,31,2
10,4019,42,2
10,4019,51,2
10,4019,61,2
10,4019,62,2
10,4019,63,2
10,4019,64,2
10,4019,65,1
11,4019,21,2
11,4019,22,2
11,4019,31,2
11,4019,41,2
11,4019,42,2
11,4019,51,2
11,4019,61,2
11,4019,62,2
11,4019,63,2
11,4019,64,2
11,4019,65,1
12,4019,21,2
12,4019,22,2
12,4019,31,2
12,4019,41,2
12,4019,42,2
12,4019,51,2
12,4019,61,2
12,4019,62,2
12,4019,63,2
12,4019,64,2
12,4019,65,1
13,4019,21,2
13,4019,22,2
13,4019,31,2
13,4019,41,2
13,4019,42,2
13,4019,51,2
13,4019,61,2
13,4019,62,2
13,4019,63,2
13,4019,64,2
13,4019,65,1
15,4019,21,2
15,4019,22,2
15,4019,31,2
15,4019,41,2
15,4019,42,2
15,4019,51,2
15,4019,61,2
15,4019,62,2
15,4019,63,2
15,4019,64,2
15,4019,65,1
16,4019,21,2
16,4019,22,2
16,4019,31,2
16,4019,41,2
16,4019,42,2
16,4019,51,2
16,4019,61,2
16,4019,62,2
16,4019,63,2
16,4019,64,2
16,4019,65,1
