nh,clust,Harvest_processed_by_HH,Unit_of_measure
1,4002,120,18
1,4002,8,4
4,4002,600,18
4,4002,0,0
5,4002,0,0
7,4002,1,5
8,4002,0,0
9,4002,120,18
9,4002,0,0
11,4002,200,18
12,4002,55,18
13,4002,0,0
16,4002,0,0
17,4002,0,0
1,4005,2,4
4,4005,900,18
6,4005,0,0
7,4005,12,9
9,4005,0,0
11,4005,440,18
11,4005,100,11
11,4005,200,19
12,4005,200,18
14,4005,0,0
14,4005,50,18
14,4005,12,9
15,4005,120,18
16,4005,0,0
17,4005,0,0
18,4005,0,0
19,4005,0,0
19,4005,0,0
19,4005,25,7
20,4005,700,18
20,4005,0,0
3,4009,0,0
3,4009,0,0
4,4009,0,0
6,4009,0,0
7,4009,0,0
8,4009,0,0
9,4009,0,0
9,4009,0,0
11,4009,0,0
11,4009,0,0
12,4009,140,8
13,4009,0,0
14,4009,0,0
14,4009,0,0
16,4009,0,0
17,4009,0,0
18,4009,0,0
19,4009,20,19
19,4009,0,0
21,4009,0,0
3,4012,0,0
5,4012,15,8
7,4012,0,0
9,4012,0,0
13,4012,0,0
14,4012,0,0
15,4012,0,0
18,4012,0,0
19,4012,0,0
1,4019,0,0
1,4019,0,0
3,4019,0,0
3,4019,0,0
4,4019,0,0
4,4019,7,8
5,4019,0,0
6,4019,50,11
6,4019,20,8
7,4019,0,0
7,4019,0,0
7,4019,0,0
9,4019,0,0
9,4019,1,4
9,4019,5,22
10,4019,50,19
10,4019,0,0
10,4019,2,5
11,4019,0,0
11,4019,8,8
11,4019,8,22
12,4019,10,8
13,4019,0,0
13,4019,12,8
15,4019,0,0
15,4019,0,0
15,4019,10,4
16,4019,0,0
16,4019,3,8
17,4019,0,0
17,4019,9,8
17,4019,0,0
18,4019,0,0
18,4019,5,8
19,4019,0,0
19,4019,0,0
19,4019,0,0
20,4019,0,0
20,4019,10,8
1,4022,15,8
1,4022,3,8
2,4022,0,0
2,4022,0,0
2,4022,0,0
2,4022,3,8
3,4022,2.5,8
4,4022,100,19
4,4022,20,11
4,4022,6,8
5,4022,1,4
5,4022,8,8
5,4022,0,0
6,4022,0.5,0
6,4022,0,0
7,4022,6,8
8,4022,17,8
9,4022,3,8
10,4022,3,8
11,4022,0,0
11,4022,0,0
11,4022,4.5,8
12,4022,3,8
13,4022,0,0
14,4022,4,8
15,4022,24,8
16,4022,2,8
17,4022,0,0
18,4022,0,0
18,4022,4,8
19,4022,17,8
19,4022,0,0
19,4022,0,0
20,4022,26,8
1,4029,1.74980057982641e+100,1.74980057982641e+100
2,4029,2,4
3,4029,1,4
4,4029,1,4
5,4029,0.5,4
7,4029,5,4
8,4029,3,4
10,4029,1,4
11,4029,2,4
12,4029,1,4
13,4029,0.5,4
14,4029,1.74980057982641e+100,1.74980057982641e+100
15,4029,3,4
16,4029,2,9
19,4029,3,4
1,4032,10,8
2,4032,3,8
3,4032,20,19
3,4032,6,5
4,4032,0,0
4,4032,2,4
