nh,clust,Harvest_any_root_crops,Sell_any_root_harvested
5,4002,2,2
5,4002,1,2
5,4002,1,2
8,4002,2,2
8,4002,2,2
8,4002,2,2
13,4002,2,2
13,4002,2,2
13,4002,2,2
17,4002,2,2
17,4002,1,2
17,4002,1,2
17,4002,1,2
1,4005,1,2
1,4005,1,1
1,4005,1,1
1,4005,1,2
1,4005,1,2
1,4005,1,2
1,4005,1,2
1,4005,1,2
4,4005,1,2
4,4005,1,1
4,4005,1,1
4,4005,1,1
4,4005,1,1
4,4005,1,1
4,4005,1,1
4,4005,1,1
6,4005,1,2
6,4005,1,2
11,4005,1,1
11,4005,1,1
11,4005,1,2
11,4005,1,1
11,4005,1,1
11,4005,1,1
11,4005,1,2
11,4005,1,2
11,4005,1,1
11,4005,1,2
14,4005,1,2
14,4005,1,1
14,4005,1,2
14,4005,1,2
14,4005,1,1
14,4005,2,2
14,4005,2,2
14,4005,2,2
14,4005,1,1
16,4005,1,1
16,4005,1,1
16,4005,1,1
16,4005,1,1
16,4005,1,1
16,4005,1,2
16,4005,1,1
16,4005,1,1
16,4005,1,1
17,4005,2,2
18,4005,1,1
18,4005,1,2
18,4005,1,2
18,4005,1,1
19,4005,1,1
19,4005,2,2
19,4005,1,1
19,4005,1,1
19,4005,2,2
19,4005,1,1
20,4005,1,1
20,4005,2,2
20,4005,2,2
20,4005,1,2
20,4005,1,2
20,4005,2,2
20,4005,2,2
20,4005,1,2
3,4009,1,1
3,4009,1,2
3,4009,1,2
3,4009,1,1
3,4009,1,2
3,4009,2,2
3,4009,1,2
3,4009,1,2
3,4009,1,2
3,4009,2,2
3,4009,1,2
6,4009,1,1
6,4009,1,2
6,4009,1,2
6,4009,2,2
6,4009,1,2
6,4009,2,2
7,4009,2,2
7,4009,1,2
7,4009,2,2
7,4009,2,2
7,4009,2,2
7,4009,2,2
9,4009,1,1
9,4009,2,2
9,4009,1,2
9,4009,1,2
9,4009,2,2
9,4009,1,1
9,4009,1,2
11,4009,1,2
11,4009,2,2
11,4009,2,2
11,4009,2,2
11,4009,2,2
14,4009,1,2
14,4009,2,2
14,4009,2,2
19,4009,1,2
19,4009,2,2
19,4009,1,2
19,4009,1,2
19,4009,2,2
19,4009,2,2
19,4009,1,2
19,4009,1,2
21,4009,2,2
21,4009,2,2
21,4009,2,2
21,4009,2,2
21,4009,2,2
21,4009,2,2
21,4009,2,2
21,4009,2,2
21,4009,1,2
21,4009,1,2
9,4012,1,2
9,4012,1,2
9,4012,2,2
9,4012,1,2
9,4012,1,1
13,4012,2,2
13,4012,1,2
13,4012,2,2
14,4012,1,2
14,4012,2,2
14,4012,2,2
14,4012,2,2
14,4012,2,2
14,4012,2,2
14,4012,2,2
14,4012,1,2
19,4012,1,1
19,4012,1,2
19,4012,2,2
19,4012,1,1
1,4019,2,2
1,4019,1,2
1,4019,1,2
1,4019,2,2
3,4019,1,1
3,4019,2,2
3,4019,2,2
3,4019,1,2
3,4019,1,1
4,4019,1,2
4,4019,2,2
5,4019,1,2
5,4019,1,2
5,4019,1,1
6,4019,1,2
6,4019,1,2
6,4019,2,2
6,4019,1,1
6,4019,1,2
6,4019,1,2
6,4019,1,2
6,4019,2,2
6,4019,2,2
7,4019,1,2
7,4019,1,2
7,4019,1,2
9,4019,1,2
9,4019,2,2
9,4019,1,2
9,4019,2,2
9,4019,1,2
9,4019,2,2
9,4019,2,2
9,4019,1,2
10,4019,2,2
10,4019,1,2
10,4019,2,2
10,4019,1,2
10,4019,2,2
10,4019,2,2
10,4019,1,2
10,4019,2,2
11,4019,1,2
11,4019,1,2
11,4019,2,2
11,4019,1,2
11,4019,2,2
11,4019,2,2
11,4019,2,2
11,4019,1,2
12,4019,1,1
12,4019,2,2
12,4019,1,2
12,4019,1,2
12,4019,1,2
12,4019,2,2
12,4019,1,2
13,4019,1,2
13,4019,1,2
13,4019,2,2
13,4019,2,2
13,4019,1,2
13,4019,1,2
13,4019,1,2
13,4019,2,2
15,4019,1,1
15,4019,1,2
15,4019,2,2
15,4019,1,2
15,4019,1,2
17,4019,1,2
17,4019,2,2
17,4019,1,2
17,4019,1,2
17,4019,2,2
17,4019,2,2
19,4019,1,2
19,4019,1,2
19,4019,1,2
19,4019,1,2
19,4019,1,2
19,4019,1,2
20,4019,2,2
20,4019,1,2
20,4019,2,2
20,4019,2,2
20,4019,2,2
20,4019,2,2
20,4019,1,2
1,4022,1,2
1,4022,1,2
1,4022,2,2
1,4022,1,1
1,4022,1,2
1,4022,2,2
1,4022,2,2
1,4022,1,2
1,4022,1,2
1,4022,1,2
1,4022,1,2
1,4022,1,2
1,4022,2,2
2,4022,1,2
2,4022,1,2
2,4022,1,2
2,4022,2,2
2,4022,1,2
2,4022,1,2
2,4022,1,2
2,4022,1,2
2,4022,1,2
2,4022,2,2
3,4022,1,2
3,4022,1,2
3,4022,1,1
3,4022,2,2
3,4022,1,2
3,4022,2,2
3,4022,1,2
3,4022,1,2
3,4022,1,2
3,4022,1,2
4,4022,2,2
4,4022,1,2
4,4022,1,2
4,4022,1,2
4,4022,1,2
4,4022,1,2
4,4022,1,2
4,4022,2,2
5,4022,1,2
5,4022,1,2
5,4022,1,2
5,4022,1,1
5,4022,1,1
5,4022,1,2
5,4022,1,2
5,4022,1,2
6,4022,2,2
6,4022,1,2
6,4022,2,2
6,4022,1,2
6,4022,1,2
6,4022,1,2
6,4022,1,1
6,4022,1,2
6,4022,1,2
6,4022,1,2
6,4022,2,2
6,4022,2,2
6,4022,1,2
6,4022,1,2
6,4022,1,2
6,4022,1,2
6,4022,1,2
7,4022,2,2
7,4022,2,2
7,4022,1,2
7,4022,1,1
7,4022,1,1
7,4022,1,2
7,4022,1,1
7,4022,1,2
7,4022,2,2
8,4022,1,1
8,4022,1,1
8,4022,1,1
8,4022,1,1
8,4022,2,1
8,4022,1,2
8,4022,1,1
8,4022,1,1
8,4022,1,1
8,4022,1,2
8,4022,2,2
8,4022,2,1
9,4022,1,2
9,4022,1,2
9,4022,2,2
9,4022,2,2
9,4022,2,2
9,4022,2,2
9,4022,1,2
9,4022,2,2
9,4022,1,2
9,4022,1,1
9,4022,1,1
9,4022,1,2
