nh,clust,Crop_code
1,4002,18
1,4002,22
2,4002,18
3,4002,18
4,4002,18
4,4002,22
5,4002,18
5,4002,22
6,4002,6
6,4002,18
7,4002,6
7,4002,18
7,4002,22
8,4002,18
9,4002,18
9,4002,22
11,4002,18
13,4002,6
13,4002,18
14,4002,18
17,4002,18
18,4002,18
19,4002,6
19,4002,18
1,4005,6
1,4005,18
1,4005,22
2,4005,6
2,4005,18
3,4005,18
4,4005,6
4,4005,18
5,4005,18
6,4005,18
7,4005,6
7,4005,18
7,4005,22
8,4005,18
8,4005,19
9,4005,6
9,4005,18
9,4005,22
11,4005,6
11,4005,18
11,4005,19
11,4005,22
12,4005,18
13,4005,6
13,4005,18
14,4005,6
14,4005,18
14,4005,19
14,4005,22
15,4005,6
15,4005,18
16,4005,18
17,4005,18
18,4005,6
18,4005,18
18,4005,22
19,4005,6
19,4005,18
19,4005,19
19,4005,22
20,4005,6
20,4005,18
20,4005,19
20,4005,22
1,4009,6
1,4009,18
3,4009,6
3,4009,18
3,4009,22
4,4009,18
4,4009,22
6,4009,18
7,4009,18
7,4009,22
8,4009,6
8,4009,18
8,4009,22
9,4009,18
9,4009,22
11,4009,6
11,4009,18
11,4009,22
12,4009,18
12,4009,22
13,4009,6
13,4009,18
13,4009,22
14,4009,18
14,4009,22
15,4009,18
15,4009,22
16,4009,6
16,4009,18
16,4009,22
17,4009,18
17,4009,22
18,4009,18
18,4009,22
19,4009,18
19,4009,22
20,4009,18
20,4009,22
21,4009,6
21,4009,18
21,4009,22
1,4012,18
3,4012,18
3,4012,22
5,4012,6
5,4012,18
5,4012,19
5,4012,22
6,4012,18
7,4012,18
7,4012,22
8,4012,18
9,4012,6
9,4012,18
9,4012,22
10,4012,18
11,4012,18
12,4012,18
13,4012,18
13,4012,22
14,4012,18
14,4012,22
15,4012,6
15,4012,18
15,4012,19
15,4012,22
16,4012,18
17,4012,18
18,4012,18
18,4012,22
19,4012,18
19,4012,22
20,4012,6
20,4012,18
13,4015,18
1,4019,18
1,4019,22
3,4019,18
3,4019,22
4,4019,18
4,4019,22
5,4019,18
5,4019,22
6,4019,18
6,4019,22
7,4019,18
7,4019,22
9,4019,18
9,4019,22
10,4019,6
10,4019,18
10,4019,22
11,4019,18
11,4019,22
12,4019,18
12,4019,22
13,4019,18
13,4019,22
15,4019,18
15,4019,22
16,4019,18
16,4019,22
17,4019,18
17,4019,22
18,4019,18
18,4019,22
19,4019,6
19,4019,18
19,4019,22
20,4019,18
20,4019,19
20,4019,22
1,4022,6
1,4022,18
1,4022,22
2,4022,6
2,4022,18
2,4022,22
3,4022,6
3,4022,18
3,4022,22
4,4022,6
4,4022,18
4,4022,22
5,4022,6
5,4022,18
5,4022,19
5,4022,22
6,4022,6
6,4022,18
6,4022,19
6,4022,22
7,4022,6
7,4022,18
7,4022,22
8,4022,6
8,4022,18
8,4022,19
8,4022,22
9,4022,6
9,4022,18
9,4022,19
9,4022,22
10,4022,6
10,4022,18
10,4022,22
11,4022,6
11,4022,18
11,4022,22
12,4022,6
12,4022,18
12,4022,19
12,4022,22
13,4022,18
13,4022,19
13,4022,22
14,4022,18
14,4022,19
14,4022,22
15,4022,6
15,4022,18
15,4022,19
15,4022,22
16,4022,18
16,4022,22
17,4022,6
17,4022,18
17,4022,19
17,4022,22
18,4022,6
18,4022,18
18,4022,22
19,4022,18
19,4022,19
19,4022,22
20,4022,6
20,4022,18
20,4022,22
1,4029,18
1,4029,22
2,4029,18
2,4029,22
3,4029,18
3,4029,22
4,4029,18
4,4029,22
5,4029,18
5,4029,22
7,4029,18
7,4029,22
8,4029,18
8,4029,22
10,4029,18
10,4029,22
11,4029,18
11,4029,22
12,4029,18
12,4029,22
13,4029,18
13,4029,22
14,4029,18
14,4029,22
15,4029,18
15,4029,22
16,4029,18
16,4029,22
19,4029,18
19,4029,22
1,4032,18
1,4032,22
2,4032,6
2,4032,18
2,4032,22
3,4032,6
3,4032,18
3,4032,19
3,4032,22
4,4032,6
4,4032,18
4,4032,19
4,4032,22
5,4032,6
5,4032,18
5,4032,22
6,4032,18
6,4032,19
6,4032,22
7,4032,18
7,4032,22
8,4032,18
8,4032,22
9,4032,6
9,4032,18
9,4032,22
10,4032,6
10,4032,18
10,4032,19
10,4032,22
11,4032,18
11,4032,22
12,4032,18
12,4032,22
13,4032,18
13,4032,22
14,4032,18
14,4032,22
15,4032,18
15,4032,22
16,4032,18
16,4032,22
17,4032,18
17,4032,22
19,4032,6
19,4032,18
19,4032,19
19,4032,22
20,4032,18
20,4032,22
1,4035,18
2,4035,18
2,4035,19
2,4035,22
3,4035,18
3,4035,22
4,4035,6
4,4035,18
4,4035,19
4,4035,22
6,4035,18
6,4035,19
8,4035,18
8,4035,22
9,4035,6
9,4035,18
9,4035,19
9,4035,22
10,4035,18
10,4035,22
11,4035,18
11,4035,22
12,4035,18
12,4035,22
13,4035,18
14,4035,18
14,4035,22
15,4035,18
15,4035,22
16,4035,6
16,4035,18
16,4035,19
16,4035,22
17,4035,6
17,4035,18
17,4035,19
17,4035,22
18,4035,18
18,4035,22
19,4035,6
19,4035,18
19,4035,19
19,4035,22
20,4035,18
20,4035,22
2,4039,18
2,4039,22
3,4039,18
3,4039,19
3,4039,22
4,4039,18
4,4039,19
4,4039,22
5,4039,6
5,4039,18
5,4039,22
6,4039,18
6,4039,19
6,4039,22
7,4039,18
7,4039,19
7,4039,22
8,4039,18
8,4039,19
8,4039,22
9,4039,6
9,4039,18
9,4039,19
9,4039,22
10,4039,18
10,4039,19
10,4039,22
11,4039,6
11,4039,18
11,4039,22
12,4039,18
12,4039,22
13,4039,18
13,4039,22
14,4039,18
14,4039,22
15,4039,18
15,4039,22
16,4039,18
16,4039,22
17,4039,6
17,4039,18
17,4039,22
18,4039,18
18,4039,22
19,4039,18
19,4039,19
19,4039,22
20,4039,18
20,4039,22
1,4042,18
1,4042,19
1,4042,22
2,4042,6
2,4042,18
2,4042,22
3,4042,6
3,4042,18
3,4042,19
3,4042,22
4,4042,18
4,4042,22
5,4042,6
5,4042,18
5,4042,22
6,4042,6
6,4042,18
6,4042,19
6,4042,22
9,4042,18
9,4042,22
10,4042,6
10,4042,18
10,4042,22
11,4042,18
11,4042,22
13,4042,18
13,4042,19
13,4042,22
14,4042,18
14,4042,22
15,4042,18
15,4042,22
16,4042,18
16,4042,19
16,4042,22
17,4042,22
18,4042,18
18,4042,22
19,4042,18
19,4042,22
20,4042,18
20,4042,22
21,4042,18
21,4042,22
1,4044,18
1,4044,22
2,4044,18
2,4044,22
4,4044,18
4,4044,22
5,4044,18
5,4044,22
6,4044,18
6,4044,22
8,4044,18
8,4044,22
9,4044,18
9,4044,22
10,4044,18
11,4044,18
11,4044,22
12,4044,18
12,4044,22
13,4044,18
13,4044,22
14,4044,18
14,4044,22
15,4044,18
15,4044,22
16,4044,18
16,4044,22
17,4044,18
17,4044,22
18,4044,18
18,4044,22
19,4044,18
19,4044,22
20,4044,18
20,4044,22
1,4049,6
1,4049,18
1,4049,19
1,4049,22
2,4049,6
2,4049,18
2,4049,19
2,4049,22
3,4049,6
3,4049,18
3,4049,19
3,4049,22
4,4049,6
4,4049,18
4,4049,19
4,4049,22
5,4049,6
5,4049,18
5,4049,19
5,4049,22
6,4049,18
6,4049,19
6,4049,22
7,4049,6
7,4049,18
7,4049,19
7,4049,22
8,4049,6
8,4049,18
8,4049,19
8,4049,22
9,4049,6
9,4049,18
9,4049,19
9,4049,22
10,4049,6
10,4049,18
10,4049,19
10,4049,22
11,4049,6
11,4049,18
11,4049,19
11,4049,22
12,4049,6
12,4049,18
12,4049,19
12,4049,22
13,4049,6
13,4049,18
13,4049,19
13,4049,22
14,4049,6
14,4049,18
14,4049,19
14,4049,22
15,4049,6
15,4049,18
15,4049,19
15,4049,22
16,4049,6
16,4049,18
16,4049,19
16,4049,22
17,4049,6
17,4049,18
17,4049,19
17,4049,22
18,4049,6
18,4049,18
18,4049,19
18,4049,22
19,4049,6
19,4049,18
19,4049,19
19,4049,22
20,4049,6
20,4049,18
20,4049,19
20,4049,22
18,4052,18
18,4052,22
1,4055,18
1,4055,22
2,4055,18
2,4055,22
3,4055,18
3,4055,22
4,4055,18
4,4055,22
5,4055,18
5,4055,22
6,4055,18
6,4055,22
8,4055,18
8,4055,22
9,4055,18
9,4055,22
10,4055,18
10,4055,22
11,4055,18
11,4055,22
12,4055,18
12,4055,22
13,4055,18
13,4055,22
14,4055,18
14,4055,22
15,4055,18
15,4055,22
18,4055,18
18,4055,22
19,4055,18
19,4055,22
20,4055,18
20,4055,22
25,4055,18
25,4055,22
1,4059,18
2,4059,18
2,4059,22
3,4059,18
3,4059,22
8,4059,18
8,4059,22
9,4059,18
11,4059,18
11,4059,22
14,4059,18
14,4059,22
15,4059,18
16,4059,18
16,4059,22
1,4062,18
1,4062,22
2,4062,18
2,4062,22
3,4062,18
3,4062,22
6,4062,18
6,4062,22
8,4062,18
8,4062,22
10,4062,18
10,4062,22
11,4062,18
11,4062,22
12,4062,18
12,4062,22
15,4062,18
15,4062,22
16,4062,18
16,4062,22
17,4062,6
17,4062,18
17,4062,22
19,4062,18
20,4062,6
20,4062,18
20,4062,22
1,4065,18
1,4065,22
2,4065,6
2,4065,18
2,4065,22
3,4065,18
3,4065,22
5,4065,6
5,4065,18
5,4065,22
6,4065,18
6,4065,22
7,4065,18
7,4065,22
8,4065,18
8,4065,22
9,4065,18
9,4065,22
10,4065,18
10,4065,22
11,4065,18
11,4065,22
13,4065,18
13,4065,22
14,4065,18
14,4065,22
15,4065,6
15,4065,18
15,4065,22
16,4065,18
16,4065,22
17,4065,18
17,4065,23
20,4065,18
20,4065,22
21,4065,18
21,4065,22
23,4065,6
23,4065,18
23,4065,22
1,4069,6
1,4069,18
1,4069,22
2,4069,6
2,4069,18
2,4069,19
2,4069,22
3,4069,6
3,4069,18
3,4069,22
4,4069,6
4,4069,18
4,4069,19
4,4069,22
5,4069,6
5,4069,18
5,4069,19
5,4069,22
6,4069,6
6,4069,18
6,4069,19
6,4069,22
7,4069,6
7,4069,18
7,4069,19
7,4069,22
8,4069,6
8,4069,18
8,4069,19
8,4069,22
9,4069,6
9,4069,18
9,4069,19
9,4069,22
10,4069,6
10,4069,18
10,4069,19
10,4069,22
11,4069,6
11,4069,18
11,4069,19
11,4069,22
12,4069,18
12,4069,22
13,4069,18
13,4069,22
14,4069,6
14,4069,18
14,4069,19
14,4069,22
15,4069,6
15,4069,18
15,4069,22
16,4069,6
16,4069,18
16,4069,19
16,4069,22
17,4069,6
17,4069,18
17,4069,19
17,4069,22
18,4069,6
18,4069,18
18,4069,19
18,4069,22
1,4072,18
1,4072,22
2,4072,18
2,4072,22
3,4072,18
3,4072,22
4,4072,18
4,4072,22
5,4072,18
5,4072,22
8,4072,18
8,4072,22
9,4072,18
10,4072,22
11,4072,23
12,4072,18
12,4072,22
14,4072,18
14,4072,22
15,4072,18
15,4072,22
15,4072,23
16,4072,23
17,4072,22
18,4072,23
19,4072,18
19,4072,22
19,4072,23
1,4075,6
1,4075,18
1,4075,19
1,4075,22
2,4075,6
2,4075,18
2,4075,19
2,4075,22
3,4075,6
3,4075,18
3,4075,19
3,4075,22
4,4075,6
4,4075,18
4,4075,22
5,4075,6
5,4075,18
5,4075,19
5,4075,22
6,4075,6
6,4075,18
6,4075,19
6,4075,22
7,4075,6
7,4075,18
7,4075,19
7,4075,22
8,4075,6
8,4075,18
8,4075,19
8,4075,22
9,4075,6
9,4075,18
9,4075,19
9,4075,22
10,4075,6
10,4075,18
10,4075,19
10,4075,22
11,4075,18
11,4075,19
11,4075,22
12,4075,18
12,4075,22
13,4075,6
13,4075,18
13,4075,19
13,4075,22
14,4075,6
14,4075,18
14,4075,19
14,4075,22
15,4075,6
15,4075,18
15,4075,19
15,4075,22
16,4075,6
16,4075,18
16,4075,19
16,4075,22
18,4075,6
18,4075,18
18,4075,19
18,4075,22
19,4075,6
19,4075,18
19,4075,19
19,4075,22
20,4075,6
20,4075,18
20,4075,19
20,4075,22
22,4075,6
22,4075,18
22,4075,19
22,4075,22
1,4079,18
1,4079,22
2,4079,18
2,4079,22
3,4079,18
3,4079,22
4,4079,18
4,4079,22
5,4079,18
5,4079,22
6,4079,6
6,4079,18
6,4079,22
7,4079,18
7,4079,23
8,4079,18
8,4079,22
9,4079,18
9,4079,22
9,4079,23
10,4079,18
10,4079,22
11,4079,18
11,4079,22
12,4079,18
12,4079,22
13,4079,18
13,4079,22
14,4079,18
14,4079,22
15,4079,18
15,4079,22
16,4079,18
16,4079,22
17,4079,18
17,4079,22
18,4079,18
18,4079,22
19,4079,18
19,4079,22
20,4079,18
20,4079,22
1,4081,18
1,4081,22
2,4081,18
2,4081,22
3,4081,18
3,4081,22
4,4081,18
4,4081,22
5,4081,18
5,4081,22
6,4081,18
6,4081,22
7,4081,18
7,4081,22
8,4081,18
8,4081,22
9,4081,18
9,4081,22
10,4081,18
10,4081,22
11,4081,18
11,4081,22
12,4081,18
12,4081,22
13,4081,18
13,4081,22
14,4081,18
14,4081,22
15,4081,18
15,4081,22
16,4081,18
16,4081,22
18,4081,18
18,4081,22
19,4081,18
19,4081,22
20,4081,18
20,4081,22
11,4084,18
11,4084,22
2,4089,18
2,4089,22
3,4089,18
3,4089,22
5,4089,18
5,4089,22
6,4089,18
7,4089,18
7,4089,22
9,4089,18
9,4089,22
10,4089,18
10,4089,22
12,4089,18
12,4089,22
13,4089,18
13,4089,22
15,4089,18
15,4089,22
17,4089,18
17,4089,22
18,4089,18
19,4089,18
19,4089,22
1,4092,22
2,4092,18
2,4092,22
3,4092,18
3,4092,22
4,4092,18
4,4092,22
5,4092,18
5,4092,22
6,4092,18
6,4092,22
7,4092,18
7,4092,22
8,4092,18
8,4092,22
9,4092,18
9,4092,22
10,4092,18
10,4092,22
11,4092,22
12,4092,18
12,4092,22
13,4092,18
13,4092,22
14,4092,18
14,4092,22
15,4092,18
15,4092,22
16,4092,18
16,4092,22
17,4092,18
17,4092,22
18,4092,18
18,4092,22
19,4092,18
19,4092,22
20,4092,18
20,4092,22
1,4095,18
1,4095,22
2,4095,18
2,4095,22
3,4095,18
3,4095,22
4,4095,18
4,4095,22
5,4095,18
5,4095,22
6,4095,18
6,4095,22
7,4095,18
7,4095,22
8,4095,18
8,4095,22
9,4095,18
9,4095,22
10,4095,6
10,4095,18
10,4095,22
11,4095,18
11,4095,22
12,4095,18
12,4095,22
13,4095,18
13,4095,22
14,4095,18
14,4095,22
15,4095,6
15,4095,18
15,4095,22
16,4095,18
16,4095,22
17,4095,18
17,4095,22
18,4095,18
18,4095,19
18,4095,22
19,4095,18
19,4095,22
20,4095,18
20,4095,22
1,4099,18
1,4099,22
2,4099,18
2,4099,22
3,4099,18
3,4099,22
4,4099,18
4,4099,22
5,4099,18
5,4099,22
6,4099,18
6,4099,22
7,4099,18
7,4099,22
8,4099,18
8,4099,22
9,4099,18
9,4099,22
10,4099,18
10,4099,22
11,4099,18
11,4099,22
12,4099,18
12,4099,22
13,4099,18
13,4099,22
14,4099,18
14,4099,22
15,4099,18
15,4099,22
16,4099,18
16,4099,22
17,4099,18
17,4099,22
18,4099,18
18,4099,22
19,4099,18
19,4099,22
20,4099,18
20,4099,22
3,4102,6
3,4102,18
6,4102,18
6,4102,22
12,4102,6
12,4102,18
2,4105,6
2,4105,18
2,4105,22
6,4105,18
6,4105,22
10,4105,18
13,4105,18
18,4105,18
18,4105,22
20,4105,6
20,4105,18
20,4105,22
21,4105,18
21,4105,22
22,4105,18
22,4105,22
19,4109,6
19,4109,18
20,4109,6
20,4109,18
2,4112,6
2,4112,18
3,4112,18
3,4112,22
4,4112,6
4,4112,18
4,4112,22
5,4112,18
5,4112,22
6,4112,6
6,4112,18
6,4112,22
7,4112,6
7,4112,18
7,4112,22
9,4112,6
9,4112,18
9,4112,22
10,4112,6
10,4112,18
10,4112,22
11,4112,18
11,4112,22
12,4112,6
12,4112,18
12,4112,22
13,4112,6
13,4112,18
14,4112,6
14,4112,18
14,4112,22
15,4112,6
16,4112,6
16,4112,18
16,4112,22
17,4112,6
17,4112,18
17,4112,22
19,4112,6
19,4112,18
19,4112,22
20,4112,6
20,4112,18
20,4112,22
2,4115,18
2,4115,22
3,4115,18
3,4115,22
5,4115,18
5,4115,22
6,4115,18
6,4115,22
11,4115,18
12,4115,18
12,4115,22
13,4115,18
13,4115,22
14,4115,18
14,4115,22
18,4115,18
18,4115,22
19,4115,18
6,4119,18
6,4119,22
13,4119,22
17,4119,6
17,4119,18
17,4119,22
20,4119,6
20,4119,18
20,4119,22
2,4122,18
4,4122,18
4,4122,22
5,4122,18
5,4122,22
7,4122,18
7,4122,22
9,4122,18
9,4122,22
10,4122,18
11,4122,18
14,4122,18
17,4122,18
19,4122,18
20,4122,18
20,4122,22
1,4125,6
1,4125,18
1,4125,22
2,4125,6
2,4125,18
2,4125,19
2,4125,22
3,4125,6
3,4125,18
3,4125,19
3,4125,22
4,4125,6
4,4125,18
4,4125,19
4,4125,22
5,4125,6
5,4125,18
5,4125,19
5,4125,22
6,4125,6
6,4125,18
6,4125,19
6,4125,22
8,4125,6
8,4125,18
8,4125,19
8,4125,22
9,4125,18
10,4125,6
10,4125,18
10,4125,19
10,4125,22
11,4125,6
11,4125,18
11,4125,19
11,4125,22
12,4125,6
12,4125,22
13,4125,6
13,4125,18
13,4125,19
13,4125,22
14,4125,18
14,4125,22
16,4125,6
16,4125,18
16,4125,19
16,4125,22
17,4125,6
17,4125,18
17,4125,19
17,4125,22
19,4125,6
19,4125,18
19,4125,19
19,4125,22
20,4125,6
20,4125,18
20,4125,22
1,4129,18
1,4129,22
2,4129,18
2,4129,22
3,4129,18
3,4129,22
4,4129,18
4,4129,19
4,4129,22
5,4129,18
5,4129,22
6,4129,18
6,4129,22
7,4129,18
7,4129,22
8,4129,18
8,4129,22
9,4129,18
9,4129,22
10,4129,6
10,4129,18
10,4129,22
11,4129,18
11,4129,22
12,4129,18
12,4129,22
13,4129,18
13,4129,22
14,4129,18
14,4129,22
15,4129,18
15,4129,22
16,4129,18
16,4129,22
17,4129,18
17,4129,22
18,4129,18
18,4129,22
19,4129,18
19,4129,22
20,4129,6
20,4129,18
20,4129,22
1,4132,18
2,4132,18
2,4132,22
3,4132,18
3,4132,22
4,4132,18
4,4132,22
5,4132,18
5,4132,22
6,4132,18
6,4132,22
7,4132,18
7,4132,22
8,4132,18
8,4132,22
9,4132,18
9,4132,22
10,4132,18
10,4132,22
11,4132,18
11,4132,22
12,4132,18
12,4132,22
13,4132,18
13,4132,22
14,4132,18
14,4132,22
16,4132,18
16,4132,22
17,4132,18
17,4132,22
18,4132,18
18,4132,22
19,4132,18
19,4132,22
20,4132,18
20,4132,22
2,4134,18
4,4134,22
5,4134,18
5,4134,22
6,4134,22
7,4134,18
7,4134,22
8,4134,22
9,4134,22
11,4134,22
12,4134,22
13,4134,22
15,4134,22
16,4134,18
16,4134,22
17,4134,22
18,4134,22
20,4134,22
2,4139,6
2,4139,18
2,4139,22
3,4139,6
3,4139,18
3,4139,19
3,4139,22
4,4139,6
4,4139,18
4,4139,22
5,4139,6
5,4139,18
5,4139,22
6,4139,6
6,4139,18
6,4139,19
6,4139,22
7,4139,18
7,4139,22
8,4139,18
8,4139,19
8,4139,22
10,4139,6
10,4139,18
10,4139,19
10,4139,22
11,4139,6
11,4139,18
11,4139,22
13,4139,6
13,4139,18
13,4139,19
13,4139,22
15,4139,6
15,4139,18
15,4139,19
15,4139,22
16,4139,6
16,4139,18
16,4139,19
16,4139,22
17,4139,6
17,4139,18
17,4139,22
18,4139,6
18,4139,18
20,4139,6
20,4139,18
20,4139,19
20,4139,22
10,4142,23
1,4149,6
1,4149,18
1,4149,19
1,4149,22
3,4149,6
3,4149,18
3,4149,19
3,4149,22
7,4149,6
7,4149,18
7,4149,22
8,4149,6
8,4149,18
8,4149,22
9,4149,6
9,4149,18
9,4149,22
10,4149,22
11,4149,6
11,4149,18
11,4149,22
13,4149,18
13,4149,22
15,4149,6
15,4149,18
15,4149,22
17,4149,6
17,4149,18
17,4149,22
18,4149,6
18,4149,18
18,4149,22
19,4149,6
19,4149,18
19,4149,22
20,4149,6
20,4149,18
20,4149,19
20,4149,22
23,4149,6
23,4149,18
23,4149,22
24,4149,6
24,4149,18
24,4149,22
1,4152,22
2,4152,22
3,4152,22
5,4152,22
7,4152,18
7,4152,22
8,4152,6
8,4152,18
8,4152,22
9,4152,18
9,4152,22
10,4152,22
12,4152,22
17,4152,18
17,4152,22
19,4152,22
20,4152,18
20,4152,22
21,4152,22
23,4152,22
9,4155,22
12,4155,22
15,4155,18
15,4155,22
16,4155,22
19,4155,18
2,4159,18
2,4159,22
7,4159,18
7,4159,22
8,4159,18
8,4159,22
9,4159,18
9,4159,22
13,4159,18
13,4159,22
15,4159,18
15,4159,22
17,4159,18
17,4159,22
12,4162,6
12,4162,18
6,4169,18
6,4169,22
10,4172,18
10,4172,22
5,4175,6
5,4175,18
5,4175,22
10,4175,6
10,4175,18
10,4175,22
16,4175,6
16,4175,18
16,4175,22
19,4175,6
19,4175,22
9,4182,6
9,4182,18
9,4182,22
1,4189,18
1,4189,22
2,4189,22
3,4189,18
3,4189,22
5,4189,18
5,4189,22
6,4189,18
6,4189,22
7,4189,18
7,4189,22
11,4189,18
11,4189,22
18,4189,18
18,4189,22
1,4192,6
1,4192,18
1,4192,19
1,4192,22
2,4192,18
2,4192,19
2,4192,22
3,4192,6
3,4192,18
3,4192,19
3,4192,22
4,4192,6
4,4192,18
5,4192,6
5,4192,18
5,4192,22
7,4192,6
7,4192,18
7,4192,19
7,4192,22
8,4192,6
8,4192,18
8,4192,19
9,4192,6
9,4192,18
9,4192,19
9,4192,22
10,4192,18
10,4192,19
10,4192,22
11,4192,18
11,4192,19
12,4192,6
12,4192,18
12,4192,19
12,4192,22
13,4192,6
13,4192,18
13,4192,19
13,4192,22
14,4192,6
14,4192,18
14,4192,19
14,4192,22
15,4192,6
15,4192,18
15,4192,19
15,4192,22
16,4192,6
16,4192,18
16,4192,19
16,4192,22
17,4192,6
17,4192,18
17,4192,19
17,4192,22
18,4192,6
18,4192,18
18,4192,19
18,4192,22
19,4192,6
19,4192,18
19,4192,19
19,4192,22
1,4199,18
1,4199,22
2,4199,6
2,4199,18
2,4199,19
2,4199,22
3,4199,6
3,4199,18
3,4199,22
4,4199,18
4,4199,19
4,4199,22
5,4199,6
5,4199,18
5,4199,22
6,4199,6
6,4199,18
6,4199,22
7,4199,6
7,4199,18
7,4199,22
8,4199,6
8,4199,18
8,4199,19
8,4199,22
9,4199,6
9,4199,18
9,4199,19
9,4199,22
10,4199,6
10,4199,18
10,4199,19
10,4199,22
11,4199,6
11,4199,18
11,4199,19
11,4199,22
12,4199,18
12,4199,22
13,4199,18
13,4199,19
13,4199,22
14,4199,6
14,4199,18
14,4199,19
14,4199,22
16,4199,6
16,4199,18
16,4199,22
17,4199,18
17,4199,22
18,4199,18
18,4199,22
19,4199,6
19,4199,18
19,4199,19
19,4199,22
20,4199,6
20,4199,18
20,4199,22
2,4202,18
2,4202,22
4,4202,6
4,4202,18
4,4202,22
5,4202,18
5,4202,22
6,4202,18
6,4202,22
9,4202,6
9,4202,18
9,4202,22
11,4202,18
11,4202,22
17,4202,6
17,4202,18
17,4202,22
1,4205,6
1,4205,18
1,4205,19
1,4205,22
3,4205,6
3,4205,18
3,4205,22
4,4205,6
4,4205,18
4,4205,19
4,4205,22
5,4205,6
5,4205,18
5,4205,22
6,4205,6
6,4205,18
6,4205,19
6,4205,22
7,4205,18
7,4205,22
8,4205,6
8,4205,18
8,4205,22
9,4205,6
9,4205,18
9,4205,19
9,4205,22
10,4205,6
10,4205,18
10,4205,19
10,4205,22
11,4205,6
11,4205,18
11,4205,19
11,4205,22
12,4205,6
12,4205,18
12,4205,19
12,4205,22
13,4205,18
13,4205,19
13,4205,22
14,4205,6
14,4205,18
15,4205,6
15,4205,18
15,4205,19
15,4205,22
16,4205,18
16,4205,22
17,4205,6
17,4205,18
17,4205,19
17,4205,22
18,4205,18
18,4205,22
20,4205,6
20,4205,18
20,4205,19
20,4205,22
9,4322,22
9,4329,18
9,4329,22
10,4329,18
10,4329,22
14,4329,22
2,4332,18
2,4332,22
2,4335,18
2,4335,22
5,4335,18
5,4335,22
9,4335,6
9,4335,18
9,4335,22
11,4335,18
11,4335,22
15,4335,6
15,4335,18
15,4335,22
18,4335,18
18,4335,19
18,4335,22
19,4335,18
19,4335,22
1,4339,6
1,4339,18
1,4339,22
2,4339,18
2,4339,22
6,4339,6
6,4339,18
6,4339,22
10,4339,18
10,4339,22
11,4339,18
11,4339,22
2,4342,6
2,4342,18
2,4342,19
2,4342,22
3,4342,6
3,4342,18
3,4342,19
3,4342,22
8,4342,6
8,4342,18
8,4342,22
9,4342,6
9,4342,18
9,4342,22
10,4342,6
10,4342,18
10,4342,22
16,4342,6
16,4342,18
16,4342,19
16,4342,22
17,4342,6
17,4342,18
17,4342,19
17,4342,22
19,4342,6
19,4342,18
19,4342,19
19,4342,22
20,4342,18
20,4342,22
1,4345,18
1,4345,22
2,4345,18
2,4345,22
3,4345,18
3,4345,22
4,4345,18
4,4345,22
5,4345,18
5,4345,22
6,4345,18
6,4345,22
7,4345,18
7,4345,22
8,4345,18
8,4345,22
9,4345,18
9,4345,22
10,4345,18
10,4345,22
11,4345,18
11,4345,22
12,4345,18
12,4345,22
13,4345,18
13,4345,22
14,4345,18
14,4345,22
15,4345,18
15,4345,22
16,4345,18
16,4345,22
17,4345,18
17,4345,22
18,4345,18
18,4345,22
19,4345,18
19,4345,22
20,4345,18
20,4345,22
1,4349,18
1,4349,22
2,4352,18
3,4352,22
4,4352,18
4,4352,22
6,4352,18
6,4352,22
7,4352,18
7,4352,22
8,4352,6
8,4352,18
8,4352,22
9,4352,18
9,4352,22
10,4352,18
10,4352,22
11,4352,18
11,4352,22
12,4352,18
13,4352,18
15,4352,22
16,4352,18
17,4352,18
19,4352,18
19,4352,22
1,4355,6
1,4355,18
1,4355,19
1,4355,23
2,4355,6
2,4355,18
2,4355,19
2,4355,22
3,4355,18
4,4355,18
5,4355,6
5,4355,18
6,4355,6
6,4355,18
7,4355,6
7,4355,18
7,4355,19
8,4355,6
8,4355,18
8,4355,19
8,4355,22
9,4355,18
