nh,clust,Honey
1,4002,0
2,4002,0
3,4002,0
4,4002,0
5,4002,0
6,4002,0
7,4002,0
8,4002,0
9,4002,0
11,4002,0
12,4002,0
13,4002,0
14,4002,0
16,4002,0
17,4002,0
18,4002,0
19,4002,0
20,4002,0
1,4005,0
2,4005,0
3,4005,0
4,4005,0
5,4005,0
6,4005,0
7,4005,0
8,4005,0
9,4005,0
11,4005,1800
12,4005,0
13,4005,0
14,4005,0
15,4005,0
16,4005,0
17,4005,0
18,4005,0
19,4005,0
20,4005,0
1,4009,0
2,4009,0
3,4009,0
4,4009,0
5,4009,0
6,4009,0
7,4009,0
8,4009,0
9,4009,0
11,4009,0
12,4009,0
13,4009,0
14,4009,0
15,4009,0
16,4009,0
17,4009,0
18,4009,0
19,4009,0
20,4009,0
21,4009,0
1,4012,0
3,4012,0
5,4012,0
6,4012,0
7,4012,0
8,4012,0
9,4012,0
10,4012,0
11,4012,0
12,4012,0
13,4012,0
14,4012,0
15,4012,0
16,4012,0
17,4012,0
18,4012,0
19,4012,0
20,4012,0
13,4015,0
1,4019,0
3,4019,0
4,4019,0
5,4019,0
6,4019,0
7,4019,0
9,4019,0
10,4019,0
11,4019,0
12,4019,0
13,4019,0
15,4019,0
16,4019,0
17,4019,0
18,4019,0
19,4019,0
20,4019,0
1,4022,0
2,4022,0
3,4022,0
4,4022,0
5,4022,0
6,4022,0
7,4022,0
8,4022,0
9,4022,0
10,4022,0
11,4022,0
12,4022,0
13,4022,0
14,4022,0
15,4022,0
16,4022,0
17,4022,0
18,4022,0
19,4022,0
20,4022,0
1,4025,0
2,4025,0
3,4025,0
6,4025,0
7,4025,0
8,4025,0
10,4025,0
12,4025,0
13,4025,0
14,4025,0
15,4025,0
17,4025,0
1,4029,0
2,4029,0
3,4029,0
4,4029,0
5,4029,0
7,4029,0
8,4029,0
10,4029,0
11,4029,0
12,4029,0
13,4029,0
14,4029,0
15,4029,0
16,4029,0
19,4029,0
1,4032,0
2,4032,0
3,4032,0
4,4032,0
5,4032,0
6,4032,0
7,4032,0
8,4032,0
9,4032,0
10,4032,0
11,4032,0
12,4032,0
13,4032,0
14,4032,0
15,4032,0
16,4032,0
17,4032,0
19,4032,0
20,4032,0
1,4035,0
2,4035,0
3,4035,0
4,4035,0
6,4035,0
8,4035,0
9,4035,0
10,4035,0
11,4035,0
12,4035,0
13,4035,0
14,4035,0
15,4035,0
16,4035,0
17,4035,0
18,4035,0
19,4035,0
20,4035,0
2,4039,0
3,4039,0
4,4039,0
5,4039,0
6,4039,0
7,4039,0
8,4039,0
9,4039,0
10,4039,0
11,4039,0
12,4039,0
13,4039,0
14,4039,0
15,4039,0
16,4039,0
17,4039,0
18,4039,0
19,4039,0
20,4039,0
1,4042,0
2,4042,0
3,4042,0
4,4042,0
5,4042,0
6,4042,0
9,4042,0
10,4042,0
11,4042,0
13,4042,0
14,4042,0
15,4042,0
16,4042,0
17,4042,0
18,4042,0
19,4042,0
20,4042,0
21,4042,0
1,4044,0
2,4044,0
4,4044,0
5,4044,0
6,4044,0
8,4044,0
9,4044,0
10,4044,0
11,4044,0
12,4044,0
13,4044,0
14,4044,0
15,4044,0
16,4044,0
17,4044,0
18,4044,0
19,4044,0
20,4044,0
1,4049,0
2,4049,0
3,4049,0
4,4049,0
5,4049,0
6,4049,0
7,4049,0
8,4049,0
9,4049,0
10,4049,0
11,4049,0
12,4049,0
13,4049,0
14,4049,0
15,4049,0
16,4049,0
17,4049,0
18,4049,0
19,4049,0
20,4049,0
18,4052,0
1,4055,0
2,4055,0
3,4055,0
4,4055,0
5,4055,0
6,4055,0
8,4055,0
9,4055,0
10,4055,0
11,4055,0
12,4055,0
13,4055,0
14,4055,0
15,4055,0
18,4055,0
19,4055,0
20,4055,0
25,4055,0
1,4059,0
2,4059,0
3,4059,0
7,4059,0
8,4059,0
9,4059,0
10,4059,0
11,4059,0
14,4059,0
15,4059,0
16,4059,0
1,4062,0
2,4062,0
3,4062,0
6,4062,0
7,4062,0
8,4062,0
10,4062,0
11,4062,0
12,4062,0
14,4062,0
15,4062,0
16,4062,0
17,4062,0
19,4062,0
20,4062,0
1,4065,0
2,4065,0
3,4065,0
5,4065,0
6,4065,0
7,4065,0
8,4065,0
9,4065,0
10,4065,0
11,4065,0
13,4065,0
14,4065,0
15,4065,0
16,4065,0
17,4065,0
20,4065,0
21,4065,0
23,4065,0
1,4069,0
2,4069,0
3,4069,0
4,4069,0
5,4069,0
6,4069,0
7,4069,0
8,4069,0
9,4069,0
10,4069,0
11,4069,0
12,4069,0
13,4069,0
14,4069,0
15,4069,0
16,4069,0
