nh,clust,Source_of_item
1,4002,1.74980057982641e+100
1,4002,1
1,4002,1
2,4002,1.74980057982641e+100
2,4002,1
2,4002,1
4,4002,1
4,4002,1.74980057982641e+100
4,4002,1.74980057982641e+100
4,4002,3
4,4002,3
4,4002,1.74980057982641e+100
5,4002,3
5,4002,1.74980057982641e+100
5,4002,1.74980057982641e+100
5,4002,1
5,4002,3
6,4002,1.74980057982641e+100
6,4002,3
6,4002,3
6,4002,1.74980057982641e+100
7,4002,1.74980057982641e+100
7,4002,1.74980057982641e+100
7,4002,3
7,4002,3
8,4002,1.74980057982641e+100
9,4002,1.74980057982641e+100
9,4002,1.74980057982641e+100
9,4002,3
11,4002,1
11,4002,1
11,4002,1.74980057982641e+100
12,4002,1.74980057982641e+100
12,4002,1.74980057982641e+100
12,4002,3
12,4002,1.74980057982641e+100
16,4002,1.74980057982641e+100
17,4002,1.74980057982641e+100
18,4002,1
18,4002,1
18,4002,3
18,4002,1.74980057982641e+100
18,4002,1.74980057982641e+100
18,4002,1.74980057982641e+100
1,4005,1
1,4005,1.74980057982641e+100
1,4005,1.74980057982641e+100
3,4005,1.74980057982641e+100
4,4005,1
4,4005,1.74980057982641e+100
4,4005,1.74980057982641e+100
5,4005,1.74980057982641e+100
6,4005,1
6,4005,1.74980057982641e+100
7,4005,3
7,4005,3
7,4005,3
7,4005,1
7,4005,1.74980057982641e+100
7,4005,1.74980057982641e+100
7,4005,1.74980057982641e+100
7,4005,1
8,4005,1
8,4005,1
8,4005,1.74980057982641e+100
8,4005,1.74980057982641e+100
9,4005,1.74980057982641e+100
11,4005,3
11,4005,1
11,4005,1.74980057982641e+100
11,4005,1
11,4005,1
11,4005,1.74980057982641e+100
11,4005,1.74980057982641e+100
11,4005,1.74980057982641e+100
11,4005,1.74980057982641e+100
12,4005,1
12,4005,1.74980057982641e+100
12,4005,1
12,4005,1.74980057982641e+100
13,4005,1.74980057982641e+100
13,4005,1.74980057982641e+100
14,4005,3
14,4005,3
14,4005,1.74980057982641e+100
14,4005,1
14,4005,1
14,4005,1
14,4005,1
14,4005,1.74980057982641e+100
14,4005,1.74980057982641e+100
14,4005,1.74980057982641e+100
14,4005,3
14,4005,1.74980057982641e+100
14,4005,1.74980057982641e+100
15,4005,1
15,4005,1
15,4005,1.74980057982641e+100
15,4005,1.74980057982641e+100
15,4005,1.74980057982641e+100
16,4005,1
16,4005,1.74980057982641e+100
16,4005,1.74980057982641e+100
17,4005,1
17,4005,1.74980057982641e+100
17,4005,1.74980057982641e+100
18,4005,1
18,4005,1
18,4005,1.74980057982641e+100
18,4005,1.74980057982641e+100
18,4005,1.74980057982641e+100
19,4005,1
19,4005,1.74980057982641e+100
19,4005,1
19,4005,1
19,4005,1.74980057982641e+100
19,4005,1.74980057982641e+100
19,4005,1
20,4005,1
20,4005,1.74980057982641e+100
20,4005,1.74980057982641e+100
20,4005,1.74980057982641e+100
1,4009,1
1,4009,1.74980057982641e+100
3,4009,1
3,4009,1.74980057982641e+100
3,4009,1
3,4009,1.74980057982641e+100
6,4009,1
6,4009,1
6,4009,1
6,4009,1
6,4009,1.74980057982641e+100
8,4009,1
8,4009,1
8,4009,1.74980057982641e+100
8,4009,1
9,4009,1
9,4009,1
9,4009,1.74980057982641e+100
9,4009,1
9,4009,1.74980057982641e+100
11,4009,1
11,4009,1
11,4009,1
11,4009,2
11,4009,1.74980057982641e+100
12,4009,1.74980057982641e+100
12,4009,1
13,4009,1
13,4009,1
13,4009,1.74980057982641e+100
13,4009,1.74980057982641e+100
16,4009,1
16,4009,1
18,4009,1
18,4009,1
18,4009,1
18,4009,1.74980057982641e+100
19,4009,1
19,4009,1
20,4009,1
20,4009,1
21,4009,1.74980057982641e+100
1,4012,1.74980057982641e+100
6,4012,1.74980057982641e+100
