nh,clust,Doing_same_work,Father_do_same_work,Work_for_whom
5,4002,1,1,1
7,4002,1,1,1
9,4002,1,2,9
14,4002,1,2,1
18,4002,1,1,1
19,4002,1,1,1
1,4005,1,2,9
4,4005,1,1,1
5,4005,1,2,9
7,4005,1,2,9
8,4005,1,1,1
9,4005,1,2,9
11,4005,1,1,1
12,4005,1,1,9
14,4005,1,2,3
15,4005,1,1,9
16,4005,1,1,1
18,4005,1,2,9
19,4005,1,1,1
20,4005,1,1,1
7,4009,1,2,9
11,4009,1,1,1
15,4009,1,2,9
17,4009,1,1,1
19,4009,1,2,9
21,4009,1,2,9
3,4012,1,1,1
5,4012,1,2,1
7,4012,1,2,9
11,4012,1,1,1
12,4012,1,1,1
14,4012,1,1,1
19,4012,1,1,1
20,4012,1,2,9
3,4019,1,1,1
9,4019,1,2,9
11,4019,1,2,9
14,4019,1,2,9
18,4019,1,1,1
20,4019,1,2,9
2,4022,1,2,9
4,4022,1,1,9
5,4022,1,2,9
6,4022,2,2,9
9,4022,1,1,1
11,4022,2,2,9
12,4022,1,1,9
13,4022,1,2,9
16,4022,2,2,9
19,4022,1,2,9
1,4029,1,1,1
10,4029,1,2,9
11,4029,1,1,1
14,4029,2,1,1
16,4029,1,1,1
3,4032,1,2,1
4,4032,1,2,9
6,4032,1,2,7
7,4032,1,2,9
8,4032,1,2,9
9,4032,1,2,1
10,4032,1,2,9
12,4032,1,2,9
15,4032,1,2,7
16,4032,1,2,9
17,4032,1,2,9
19,4032,1,2,9
20,4032,2,2,9
1,4035,1,2,11
2,4035,1,1,1
3,4035,1,1,11
4,4035,1,1,9
6,4035,1,2,2
8,4035,1,2,9
9,4035,1,1,9
14,4035,1,1,1
16,4035,1,2,9
17,4035,1,2,9
18,4035,1,2,11
19,4035,2,2,11
20,4035,2,2,11
2,4039,1,2,7
3,4039,1,2,9
4,4039,1,2,9
5,4039,1,1,1
6,4039,1,2,7
8,4039,1,1,9
9,4039,1,2,9
10,4039,1,1,9
11,4039,1,1,9
12,4039,2,2,9
15,4039,2,1,9
16,4039,1,1,9
17,4039,1,2,9
20,4039,1,2,9
5,4042,1,1,1
9,4042,1,1,1
11,4042,1,1,1
13,4042,1,1,1
16,4042,1,2,9
19,4042,1,2,1
20,4042,1,1,9
1,4044,1,1,1
8,4044,1,1,1
10,4044,2,1,1
1,4049,1,1,1
5,4049,1,2,9
8,4049,2,1,7
9,4049,1,2,9
10,4049,1,2,8
12,4049,1,2,9
13,4049,1,2,9
16,4049,1,2,9
17,4049,1,1,1
18,4049,1,1,9
19,4049,1,2,9
20,4049,2,2,9
1,4055,1,1,1
3,4055,1,1,1
5,4055,1,2,7
11,4055,1,1,1
13,4055,1,1,1
15,4055,1,2,9
17,4055,1,2,9
20,4055,1,2,9
25,4055,1,1,1
1,4059,1,1,1
2,4059,2,1,1
7,4059,1,1,1
8,4059,1,2,9
11,4059,1,1,1
16,4059,1,1,1
1,4062,1,2,9
2,4062,1,1,1
3,4062,1,1,1
5,4062,1,1,9
6,4062,1,1,1
7,4062,1,1,1
8,4062,1,2,8
10,4062,1,1,9
12,4062,1,2,7
14,4062,1,1,1
15,4062,1,2,9
16,4062,1,1,1
17,4062,1,2,7
19,4062,1,2,9
20,4062,1,2,9
3,4065,1,2,9
10,4065,1,2,9
11,4065,1,2,9
16,4065,1,2,10
1,4069,1,1,9
2,4069,1,1,1
4,4069,1,1,9
5,4069,1,1,1
6,4069,1,2,9
7,4069,1,1,1
8,4069,2,2,7
14,4069,1,1,9
15,4069,1,1,1
16,4069,1,2,9
17,4069,1,1,1
1,4072,1,1,1
3,4072,1,1,1
4,4072,1,2,1
5,4072,1,1,1
8,4072,1,1,1
9,4072,1,1,1
11,4072,1,2,9
14,4072,1,1,1
15,4072,1,1,1
17,4072,1,1,1
18,4072,1,1,1
20,4072,1,1,1
4,4075,1,2,9
5,4075,1,1,1
14,4075,1,2,9
2,4079,1,1,9
3,4079,1,1,1
5,4079,1,2,9
6,4079,1,2,9
7,4079,1,1,9
8,4079,1,2,9
9,4079,1,1,1
11,4079,1,2,9
12,4079,1,1,1
14,4079,1,1,1
16,4079,1,1,1
18,4079,1,1,1
19,4079,1,2,9
20,4079,1,1,1
1,4081,1,2,9
2,4081,1,2,1
4,4081,1,1,1
5,4081,1,2,9
7,4081,1,2,1
8,4081,1,1,9
10,4081,1,2,9
11,4081,1,2,9
12,4081,1,2,9
13,4081,1,2,9
14,4081,1,2,9
15,4081,1,1,1
16,4081,1,2,1
18,4081,1,1,1
19,4081,1,2,9
20,4081,1,1,9
3,4084,1,1,1
4,4084,1,1,9
11,4084,1,1,1
14,4084,1,2,1
18,4084,1,1,9
13,4089,1,1,1
16,4089,1,2,9
18,4089,1,2,1
19,4089,2,1,1
1,4092,1,1,1
2,4092,1,1,1
4,4092,1,1,1
6,4092,1,1,1
7,4092,1,1,1
8,4092,1,1,1
9,4092,1,2,1
10,4092,1,1,1
11,4092,1,1,1
12,4092,1,1,1
13,4092,1,1,9
14,4092,1,1,1
15,4092,1,1,1
16,4092,1,1,1
18,4092,1,1,1
20,4092,1,1,1
4,4095,1,1,1
2,4099,1,1,1
7,4099,1,2,2
8,4099,1,1,1
11,4099,1,1,9
18,4099,1,2,9
11,4102,1,2,9
12,4102,1,2,1
14,4102,1,2,9
17,4102,1,2,1
21,4102,1,2,9
3,4105,1,2,9
5,4105,2,2,7
6,4105,1,2,9
13,4105,1,1,1
14,4105,1,2,9
18,4105,1,1,1
20,4105,1,1,1
21,4105,1,1,9
22,4105,2,2,9
4,4112,1,2,9
6,4112,1,1,1
7,4112,1,1,1
15,4112,1,2,9
19,4112,1,1,9
20,4112,1,1,9
2,4115,1,2,1
3,4115,2,1,9
5,4115,1,1,1
9,4115,1,1,1
12,4115,1,1,1
16,4115,2,1,1
17,4115,1,1,1
18,4115,1,1,9
20,4115,1,1,9
6,4119,1,1,1
13,4119,1,2,1
17,4119,1,2,9
20,4119,1,2,1
1,4125,1,2,2
4,4125,1,1,1
5,4125,1,2,7
6,4125,1,1,1
8,4125,1,2,9
11,4125,1,1,1
13,4125,1,2,7
14,4125,1,2,9
17,4125,1,2,9
18,4125,1,2,7
19,4125,1,1,1
20,4125,1,2,7
1,4129,1,2,9
7,4129,1,2,9
9,4129,1,1,9
10,4129,2,1,9
15,4129,1,1,1
16,4129,1,1,1
17,4129,1,2,9
19,4129,1,1,1
6,4132,1,2,9
7,4132,1,1,1
8,4132,1,2,9
9,4132,1,1,1
4,4134,1,1,9
5,4134,1,1,1
7,4134,1,1,1
8,4134,1,1,9
9,4134,1,1,9
11,4134,1,2,9
12,4134,1,1,1
13,4134,1,1,9
14,4134,1,2,9
17,4134,1,1,9
18,4134,1,1,9
20,4134,1,2,7
2,4139,1,1,9
3,4139,1,1,1
6,4139,1,2,9
7,4139,1,1,11
8,4139,2,2,9
10,4139,1,2,7
11,4139,2,1,9
12,4139,1,1,9
13,4139,1,1,1
14,4139,2,2,7
15,4139,2,2,9
16,4139,1,1,1
17,4139,1,2,9
18,4139,1,1,1
20,4139,1,2,9
10,4142,1,1,1
17,4142,1,2,9
1,4149,1,2,9
2,4149,1,1,9
3,4149,1,1,1
8,4149,1,2,1
10,4149,1,2,9
11,4149,1,1,1
13,4149,1,1,1
19,4149,1,1,1
20,4149,1,2,1
1,4152,1,1,1
2,4152,1,2,1
3,4152,1,1,1
5,4152,1,1,1
7,4152,1,2,1
8,4152,1,1,1
9,4152,1,1,1
10,4152,1,2,1
12,4152,1,1,1
15,4152,1,2,9
17,4152,1,1,1
19,4152,1,2,9
23,4152,1,1,1
11,4155,1,1,1
12,4155,2,1,1
15,4155,1,1,1
16,4155,1,2,1
19,4155,1,2,1
5,4159,1,2,9
6,4159,1,2,9
7,4159,1,2,1
8,4159,1,2,9
9,4159,2,2,9
13,4159,1,2,7
15,4159,1,2,9
17,4159,1,1,1
4,4162,1,1,9
20,4162,1,2,8
6,4169,1,1,1
2,4175,1,2,9
5,4175,1,2,1
7,4175,2,2,9
10,4175,1,2,9
18,4179,1,2,9
2,4182,1,2,9
3,4182,1,2,7
9,4182,1,1,1
10,4182,2,2,9
5,4185,1,2,9
8,4185,1,2,9
9,4185,1,2,9
1,4189,1,1,9
2,4189,1,1,1
3,4189,1,1,1
4,4189,2,1,7
5,4189,1,1,1
8,4189,1,2,9
9,4189,1,1,9
10,4189,2,2,9
11,4189,1,2,9
13,4189,2,2,9
18,4189,1,1,1
2,4192,1,1,1
4,4192,2,1,9
10,4192,1,2,9
13,4192,1,1,1
14,4192,1,1,1
15,4192,1,2,9
16,4192,1,2,9
17,4192,1,1,1
18,4192,1,2,9
19,4192,1,2,9
20,4192,1,1,9
1,4199,1,2,9
2,4199,2,2,9
3,4199,1,2,11
5,4199,1,1,9
7,4199,1,2,2
9,4199,2,2,9
10,4199,1,2,9
13,4199,1,1,1
14,4199,1,1,9
16,4199,1,2,9
17,4199,1,2,9
18,4199,2,1,9
3,4202,1,2,11
4,4202,1,1,1
5,4202,1,1,1
9,4202,1,1,1
11,4202,1,2,9
17,4202,1,1,1
1,4205,1,2,9
4,4205,1,2,9
5,4205,1,2,9
6,4205,2,2,9
7,4205,1,1,1
8,4205,1,1,1
13,4205,1,2,9
20,4205,1,2,7
1,4212,1,2,9
13,4212,1,2,9
8,4219,1,2,11
16,4219,1,2,9
12,4225,1,1,9
6,4242,1,2,9
8,4242,1,1,9
12,4242,1,2,1
23,4245,1,2,9
2,4255,1,1,9
9,4269,1,1,7
15,4272,1,2,9
17,4275,1,2,8
5,4285,1,2,9
6,4285,1,2,9
10,4285,1,2,2
13,4285,1,1,9
11,4289,1,1,9
19,4292,1,2,9
7,4305,2,2,2
15,4305,1,2,8
16,4305,1,2,9
19,4305,1,2,9
12,4309,1,2,9
23,4309,1,2,9
15,4312,1,2,7
21,4312,1,1,9
10,4319,1,2,8
17,4319,2,2,2
18,4319,1,2,9
4,4325,1,1,9
3,4329,1,2,9
4,4329,1,2,7
7,4329,1,2,1
8,4329,1,2,9
10,4329,1,2,1
18,4329,1,2,9
11,4335,1,1,1
18,4335,1,1,1
19,4335,1,1,1
1,4339,1,1,1
2,4339,1,2,1
3,4339,1,1,9
6,4339,1,1,1
8,4339,1,1,1
10,4339,1,1,1
2,4342,1,1,1
16,4342,1,1,1
17,4342,1,1,1
2,4345,1,2,9
3,4345,1,1,1
4,4345,1,2,1
5,4345,1,1,1
6,4345,1,1,9
7,4345,1,1,1
10,4345,1,1,1
11,4345,2,2,1
13,4345,1,1,1
14,4345,1,1,1
15,4345,1,1,1
16,4345,1,1,1
17,4345,1,1,1
18,4345,2,1,1
19,4345,1,1,1
20,4345,1,1,1
4,4349,1,2,9
4,4352,1,2,9
7,4352,1,1,1
12,4352,1,2,10
15,4352,1,2,9
17,4352,1,1,1
18,4352,1,2,9
