nh,clust,Own_operate_farm,Fish_process_for_sale,Operate_own_business
1,4002,1,1,2
2,4002,1,1,2
3,4002,1,2,2
4,4002,1,1,1
5,4002,1,2,1
6,4002,1,1,1
7,4002,1,2,1
8,4002,1,2,2
9,4002,1,2,1
10,4002,2,1,2
11,4002,1,1,2
12,4002,1,1,1
13,4002,1,2,2
14,4002,1,2,2
15,4002,2,2,1
16,4002,1,2,2
17,4002,1,2,2
18,4002,1,1,1
19,4002,1,1,2
20,4002,2,2,2
1,4005,1,1,1
2,4005,1,2,2
3,4005,1,2,2
4,4005,1,2,1
5,4005,1,1,1
6,4005,1,1,1
7,4005,1,1,1
8,4005,1,1,2
9,4005,1,2,1
10,4005,2,2,1
11,4005,1,1,1
12,4005,1,2,1
13,4005,1,2,1
14,4005,1,1,1
15,4005,1,1,1
16,4005,1,2,2
17,4005,1,2,2
18,4005,1,2,1
19,4005,1,1,2
20,4005,1,1,1
1,4009,1,2,2
2,4009,1,2,2
3,4009,1,1,2
4,4009,1,2,2
5,4009,1,2,1
6,4009,1,1,1
7,4009,1,1,1
8,4009,1,1,2
9,4009,1,2,2
11,4009,1,2,1
12,4009,1,1,1
13,4009,1,1,2
14,4009,1,1,2
15,4009,1,2,1
16,4009,1,1,2
17,4009,1,1,2
18,4009,1,1,2
19,4009,1,1,1
20,4009,1,1,2
21,4009,1,1,1
1,4012,1,2,2
2,4012,2,1,2
3,4012,1,2,2
5,4012,1,1,2
6,4012,1,2,1
7,4012,1,2,1
8,4012,1,2,2
9,4012,1,1,2
10,4012,1,2,2
11,4012,1,2,2
12,4012,1,2,1
13,4012,1,2,2
14,4012,1,2,2
15,4012,1,2,2
16,4012,1,2,2
17,4012,1,1,2
18,4012,1,2,1
19,4012,1,2,1
20,4012,1,2,1
1,4015,2,2,2
2,4015,2,2,1
3,4015,2,1,2
4,4015,2,2,1
5,4015,2,2,1
6,4015,2,2,2
7,4015,2,2,1
10,4015,2,2,1
11,4015,2,2,2
12,4015,2,2,1
13,4015,1,2,1
14,4015,2,2,1
15,4015,2,1,2
16,4015,2,2,1
17,4015,2,1,2
18,4015,2,2,2
19,4015,2,2,1
20,4015,2,2,1
21,4015,2,2,1
23,4015,2,2,2
1,4019,1,2,2
2,4019,2,2,2
3,4019,1,1,1
4,4019,1,2,2
5,4019,1,1,2
6,4019,1,2,2
7,4019,1,1,1
8,4019,2,2,2
9,4019,1,1,1
10,4019,1,2,1
11,4019,1,2,1
12,4019,1,2,2
13,4019,1,2,2
14,4019,2,2,1
15,4019,1,2,2
16,4019,1,2,2
17,4019,1,2,2
18,4019,1,2,1
19,4019,1,2,2
20,4019,1,2,1
1,4022,1,1,2
2,4022,1,1,1
3,4022,1,2,2
4,4022,1,1,1
5,4022,1,1,1
6,4022,1,2,1
7,4022,1,2,2
8,4022,1,2,2
9,4022,1,2,1
10,4022,1,2,1
11,4022,1,2,1
12,4022,1,2,2
13,4022,1,2,1
14,4022,1,2,2
15,4022,1,2,2
16,4022,1,2,1
17,4022,1,2,1
18,4022,1,2,2
19,4022,1,1,1
20,4022,1,1,2
1,4025,1,2,2
2,4025,1,1,2
3,4025,1,1,2
4,4025,2,2,2
5,4025,2,2,1
6,4025,1,1,2
7,4025,1,2,1
8,4025,2,1,1
9,4025,2,2,1
10,4025,1,2,1
11,4025,2,2,1
12,4025,2,2,1
13,4025,1,2,2
14,4025,1,2,2
15,4025,2,1,1
16,4025,2,2,2
17,4025,2,1,2
18,4025,2,2,1
19,4025,2,1,1
20,4025,2,2,1
1,4029,1,2,1
2,4029,1,1,2
3,4029,1,1,2
4,4029,1,1,1
5,4029,1,1,1
6,4029,2,2,1
7,4029,1,1,2
8,4029,1,1,1
9,4029,2,2,2
10,4029,1,1,2
11,4029,1,1,1
12,4029,1,1,2
13,4029,1,2,2
14,4029,1,1,1
15,4029,1,1,1
16,4029,1,1,2
17,4029,2,2,2
18,4029,2,2,1
19,4029,1,1,2
20,4029,2,2,2
1,4032,1,1,2
2,4032,1,2,2
3,4032,1,1,1
4,4032,1,1,1
5,4032,1,2,2
6,4032,1,2,2
7,4032,1,1,1
8,4032,1,2,1
9,4032,1,2,1
10,4032,1,1,1
11,4032,1,2,2
12,4032,1,1,1
13,4032,1,1,2
14,4032,1,1,2
15,4032,1,1,1
16,4032,1,1,1
17,4032,1,2,1
18,4032,2,2,2
19,4032,1,2,1
20,4032,1,2,1
1,4035,1,2,2
2,4035,1,2,1
3,4035,1,2,2
4,4035,1,2,1
5,4035,2,2,2
6,4035,1,2,2
7,4035,2,2,2
8,4035,1,1,2
9,4035,1,1,2
10,4035,1,2,2
11,4035,1,1,2
12,4035,1,2,2
13,4035,1,2,2
14,4035,1,2,1
15,4035,1,1,1
16,4035,1,1,1
17,4035,1,1,1
18,4035,1,2,1
19,4035,1,2,2
20,4035,1,1,2
1,4039,2,2,2
2,4039,1,2,2
3,4039,1,1,1
4,4039,1,1,1
5,4039,1,2,1
6,4039,1,1,1
7,4039,1,2,1
8,4039,1,2,2
9,4039,1,2,1
10,4039,1,2,1
11,4039,1,1,2
12,4039,1,1,2
13,4039,1,2,1
14,4039,1,2,1
15,4039,1,2,1
16,4039,1,2,1
17,4039,1,1,2
18,4039,1,2,2
19,4039,1,2,1
20,4039,1,2,1
1,4042,1,2,1
2,4042,1,2,1
3,4042,1,1,1
4,4042,1,2,2
5,4042,1,2,1
6,4042,1,1,1
7,4042,2,2,2
9,4042,1,2,1
10,4042,1,2,1
11,4042,1,2,1
12,4042,2,2,1
13,4042,1,1,1
14,4042,1,2,2
15,4042,1,2,1
16,4042,1,2,1
17,4042,1,2,2
18,4042,1,2,2
19,4042,1,2,2
20,4042,1,2,1
21,4042,1,2,2
1,4044,1,1,2
2,4044,1,1,2
3,4044,2,1,1
4,4044,1,1,2
5,4044,1,1,2
6,4044,1,1,2
7,4044,2,1,2
8,4044,1,1,1
9,4044,1,1,2
10,4044,1,1,1
11,4044,1,1,2
12,4044,1,1,2
13,4044,1,1,2
14,4044,1,1,2
15,4044,1,1,2
16,4044,1,1,2
17,4044,1,1,1
18,4044,1,1,2
19,4044,1,1,1
20,4044,1,1,2
1,4049,1,2,1
2,4049,1,2,2
3,4049,1,2,2
4,4049,1,1,2
5,4049,1,2,1
6,4049,1,2,1
7,4049,1,2,1
8,4049,1,2,1
9,4049,1,2,1
10,4049,1,1,1
11,4049,1,1,1
12,4049,1,2,1
13,4049,1,2,1
14,4049,1,2,2
15,4049,1,2,1
16,4049,1,2,1
17,4049,1,1,1
18,4049,1,1,1
19,4049,1,2,1
20,4049,1,1,1
1,4052,2,2,1
2,4052,2,1,2
3,4052,2,1,1
4,4052,2,2,2
5,4052,2,2,1
6,4052,2,2,1
7,4052,2,1,2
8,4052,2,2,2
9,4052,2,2,1
10,4052,2,2,1
11,4052,2,1,1
12,4052,2,2,1
13,4052,2,2,2
14,4052,2,2,2
15,4052,2,2,1
16,4052,2,2,1
17,4052,2,2,1
18,4052,1,2,2
19,4052,2,2,1
20,4052,2,2,1
1,4055,1,1,1
2,4055,1,1,2
3,4055,1,1,2
4,4055,1,1,2
5,4055,1,1,2
6,4055,1,1,2
7,4055,2,2,2
8,4055,1,1,2
9,4055,1,1,2
10,4055,1,1,2
11,4055,1,1,1
12,4055,1,1,2
13,4055,1,1,2
14,4055,1,1,2
15,4055,1,1,1
17,4055,2,1,1
18,4055,1,1,2
19,4055,1,1,2
20,4055,1,1,1
25,4055,1,1,2
1,4059,1,1,2
2,4059,1,1,1
3,4059,1,1,2
4,4059,2,1,2
5,4059,2,2,1
6,4059,2,2,1
7,4059,1,2,1
8,4059,1,1,1
9,4059,1,2,2
10,4059,1,2,2
11,4059,1,1,1
12,4059,2,2,2
13,4059,2,2,1
14,4059,1,1,2
15,4059,1,1,1
16,4059,1,1,1
17,4059,2,1,2
18,4059,2,2,2
19,4059,2,2,1
20,4059,2,2,1
1,4062,1,2,1
2,4062,1,1,1
3,4062,1,1,2
4,4062,2,2,1
5,4062,2,2,1
6,4062,1,1,1
7,4062,1,1,1
8,4062,1,2,1
9,4062,2,2,2
10,4062,1,2,1
11,4062,1,1,2
12,4062,1,1,2
13,4062,2,2,1
14,4062,1,2,1
15,4062,1,1,2
16,4062,1,1,2
17,4062,1,1,2
18,4062,2,2,2
19,4062,1,1,1
20,4062,1,1,1
1,4065,1,1,2
2,4065,1,1,2
3,4065,1,1,1
5,4065,1,1,2
6,4065,1,1,2
7,4065,1,1,2
8,4065,1,1,2
9,4065,1,1,2
10,4065,1,1,1
11,4065,1,1,1
13,4065,1,1,2
14,4065,1,1,2
15,4065,1,1,2
16,4065,1,1,2
17,4065,1,1,1
18,4065,2,2,2
19,4065,2,2,2
20,4065,1,1,2
21,4065,1,1,1
23,4065,1,1,1
1,4069,1,1,1
2,4069,1,1,1
3,4069,1,1,2
4,4069,1,1,1
5,4069,1,1,1
6,4069,1,1,1
7,4069,1,1,1
8,4069,1,1,1
9,4069,1,1,1
10,4069,1,1,1
11,4069,1,1,2
12,4069,1,1,1
13,4069,1,1,2
14,4069,1,1,1
15,4069,1,1,2
16,4069,1,1,1
17,4069,1,1,2
18,4069,1,1,2
19,4069,2,1,1
20,4069,2,1,2
1,4072,1,1,1
2,4072,1,1,1
3,4072,2,1,2
4,4072,1,1,2
5,4072,1,1,1
7,4072,2,1,2
8,4072,1,1,2
9,4072,1,1,2
10,4072,1,1,2
11,4072,1,1,1
12,4072,1,1,2
13,4072,2,1,2
14,4072,1,1,2
15,4072,1,1,2
16,4072,1,1,1
17,4072,1,1,2
18,4072,1,1,2
19,4072,1,1,2
20,4072,1,1,2
21,4072,2,1,2
1,4075,1,1,2
2,4075,1,1,2
3,4075,1,1,2
4,4075,1,1,1
5,4075,1,1,2
6,4075,1,1,1
7,4075,1,1,2
8,4075,1,1,2
9,4075,1,1,1
10,4075,1,1,2
11,4075,1,1,2
12,4075,1,1,2
13,4075,1,1,2
14,4075,1,1,2
15,4075,1,1,2
16,4075,1,1,1
18,4075,1,1,1
19,4075,1,1,2
