nh,clust,Amount_spend_on_self_help_project
1,4002,0
2,4002,0
3,4002,4000
4,4002,0
5,4002,20000
6,4002,0
7,4002,0
8,4002,22000
9,4002,22000
10,4002,10000
11,4002,0
12,4002,20000
13,4002,0
14,4002,0
15,4002,0
16,4002,0
17,4002,0
18,4002,0
19,4002,0
20,4002,0
1,4005,0
2,4005,3000
3,4005,0
4,4005,10000
5,4005,0
6,4005,10000
7,4005,3000
8,4005,3000
9,4005,25000
10,4005,0
11,4005,25000
12,4005,0
13,4005,60000
14,4005,3e+05
15,4005,5000
16,4005,10000
17,4005,30000
18,4005,1000
19,4005,10000
20,4005,15000
1,4009,4000
2,4009,0
3,4009,2000
4,4009,4000
5,4009,0
6,4009,8000
7,4009,15000
8,4009,8000
9,4009,4000
11,4009,30000
12,4009,10000
13,4009,4000
14,4009,4000
15,4009,4500
16,4009,0
17,4009,0
18,4009,0
19,4009,4000
20,4009,20000
21,4009,0
1,4012,1000
2,4012,1000
3,4012,5000
5,4012,5000
6,4012,25000
7,4012,0
8,4012,10000
9,4012,1000
10,4012,14200
11,4012,1200
12,4012,12000
13,4012,21000
14,4012,6000
15,4012,1400
16,4012,4000
17,4012,6000
18,4012,14000
19,4012,20000
20,4012,1200
1,4015,0
2,4015,22000
3,4015,0
4,4015,0
5,4015,0
6,4015,0
7,4015,0
10,4015,0
11,4015,0
12,4015,0
13,4015,0
14,4015,0
15,4015,0
16,4015,0
17,4015,12000
18,4015,0
19,4015,0
20,4015,2000
21,4015,0
23,4015,0
1,4019,6000
2,4019,2000
3,4019,0
4,4019,6000
5,4019,5000
6,4019,5000
7,4019,6000
8,4019,0
9,4019,6000
10,4019,10000
11,4019,3000
12,4019,3000
13,4019,5000
14,4019,0
15,4019,10000
16,4019,6000
17,4019,6000
18,4019,6000
19,4019,6000
20,4019,14000
1,4022,2000
2,4022,0
3,4022,2000
4,4022,2000
5,4022,4000
6,4022,2000
7,4022,4000
8,4022,2000
9,4022,0
10,4022,4000
11,4022,4000
12,4022,4000
13,4022,2000
14,4022,2000
15,4022,4000
16,4022,2000
17,4022,2000
18,4022,2000
19,4022,4000
20,4022,2000
1,4025,5000
2,4025,10000
3,4025,0
4,4025,2400
5,4025,15000
6,4025,20000
7,4025,20000
8,4025,5000
9,4025,10000
10,4025,10000
11,4025,10000
12,4025,2000
13,4025,0
14,4025,10000
15,4025,0
16,4025,0
17,4025,10000
18,4025,20000
19,4025,0
20,4025,10000
1,4029,0
2,4029,0
3,4029,0
4,4029,0
5,4029,0
6,4029,0
7,4029,0
8,4029,0
9,4029,0
10,4029,0
11,4029,0
12,4029,0
13,4029,0
14,4029,0
15,4029,0
16,4029,0
17,4029,0
18,4029,0
19,4029,0
20,4029,0
1,4032,0
2,4032,4000
3,4032,4000
4,4032,4000
5,4032,4000
6,4032,2000
7,4032,2000
8,4032,2000
9,4032,4000
10,4032,4000
11,4032,1000
12,4032,2000
13,4032,0
14,4032,4000
15,4032,4000
16,4032,0
17,4032,0
18,4032,0
19,4032,0
20,4032,2000
1,4035,6000
2,4035,6000
3,4035,6000
4,4035,6000
5,4035,0
6,4035,6000
7,4035,6000
8,4035,6000
9,4035,6000
10,4035,6000
11,4035,6000
12,4035,6000
13,4035,14000
14,4035,6000
15,4035,6000
16,4035,0
17,4035,0
18,4035,0
19,4035,30000
20,4035,0
1,4039,10400
2,4039,12000
3,4039,10000
4,4039,10000
5,4039,10000
6,4039,7000
7,4039,30000
8,4039,12000
9,4039,4000
10,4039,9000
11,4039,10000
12,4039,10000
13,4039,10000
14,4039,30000
15,4039,0
16,4039,8000
17,4039,5000
18,4039,10000
19,4039,20000
20,4039,10000
1,4042,4500
2,4042,6000
3,4042,6000
4,4042,2000
5,4042,8000
6,4042,6000
7,4042,2500
9,4042,2000
10,4042,10000
11,4042,6000
12,4042,1e+05
13,4042,1000
14,4042,0
15,4042,1000
16,4042,1500
17,4042,0
18,4042,10000
19,4042,65000
20,4042,0
21,4042,2000
1,4044,0
2,4044,0
3,4044,0
4,4044,0
5,4044,0
6,4044,0
7,4044,0
8,4044,0
9,4044,0
10,4044,0
11,4044,0
12,4044,0
13,4044,0
14,4044,0
15,4044,0
16,4044,0
17,4044,0
18,4044,0
19,4044,0
20,4044,0
1,4049,0
2,4049,0
3,4049,0
4,4049,0
5,4049,0
6,4049,0
7,4049,0
8,4049,0
9,4049,10000
10,4049,0
11,4049,0
12,4049,0
13,4049,0
14,4049,0
15,4049,0
16,4049,0
17,4049,0
18,4049,0
19,4049,0
20,4049,0
1,4052,0
2,4052,0
3,4052,0
4,4052,0
5,4052,0
