nh,clust,Source_of_loan
3,4002,11
5,4002,11
7,4002,11
8,4002,11
9,4002,11
12,4002,11
15,4002,11
18,4002,11
20,4002,11
1,4005,11
8,4005,11
8,4005,11
9,4005,11
13,4005,11
14,4005,11
14,4005,1
14,4005,11
15,4005,11
16,4005,11
17,4005,11
17,4005,11
18,4005,1.74980057982641e+100
19,4005,11
5,4009,11
7,4009,11
12,4009,11
14,4009,11
16,4009,11
19,4009,11
21,4009,11
2,4012,11
5,4012,11
6,4012,11
6,4012,11
6,4012,11
7,4012,11
8,4012,11
8,4012,11
9,4012,1.74980057982641e+100
10,4012,11
10,4012,11
10,4012,11
11,4012,11
11,4012,11
13,4012,11
14,4012,11
16,4012,11
17,4012,1.74980057982641e+100
18,4012,11
18,4012,11
18,4012,11
18,4012,11
18,4012,11
18,4012,11
20,4012,11
5,4015,8
11,4015,1.74980057982641e+100
13,4015,11
13,4015,11
14,4015,1
17,4015,11
20,4015,11
21,4015,1.74980057982641e+100
23,4015,11
3,4019,11
7,4019,8
11,4019,11
17,4019,11
18,4019,11
1,4022,11
2,4022,11
4,4022,11
4,4022,11
6,4022,11
7,4022,11
7,4022,11
8,4022,11
11,4022,11
11,4022,11
14,4022,11
19,4022,9
19,4022,11
19,4022,9
20,4022,8
3,4025,11
10,4025,9
12,4025,11
8,4032,11
20,4032,11
1,4035,11
3,4035,11
4,4035,11
6,4035,11
7,4035,1.74980057982641e+100
8,4035,11
9,4035,11
9,4035,11
10,4035,1.74980057982641e+100
11,4035,11
12,4035,12
13,4035,9
14,4035,9
14,4035,9
14,4035,9
15,4035,11
15,4035,11
16,4035,11
17,4035,11
17,4035,11
18,4035,11
18,4035,11
18,4035,11
19,4035,11
19,4035,11
19,4035,11
20,4035,11
1,4039,12
2,4039,1
2,4039,9
3,4039,11
4,4039,11
5,4039,1
5,4039,3
6,4039,9
7,4039,11
7,4039,11
8,4039,11
9,4039,11
10,4039,1.74980057982641e+100
11,4039,9
13,4039,11
13,4039,11
13,4039,11
14,4039,11
14,4039,11
14,4039,11
15,4039,1.74980057982641e+100
16,4039,1.74980057982641e+100
17,4039,11
18,4039,11
18,4039,11
19,4039,11
20,4039,1.74980057982641e+100
1,4042,11
1,4042,11
3,4042,9
3,4042,3
3,4042,11
3,4042,11
5,4042,9
5,4042,11
7,4042,8
9,4042,9
9,4042,11
9,4042,9
10,4042,11
10,4042,11
10,4042,11
10,4042,9
10,4042,11
11,4042,11
11,4042,11
11,4042,11
12,4042,9
12,4042,9
12,4042,9
13,4042,9
13,4042,9
15,4042,11
16,4042,1.74980057982641e+100
17,4042,12
18,4042,11
18,4042,11
18,4042,11
19,4042,1.74980057982641e+100
21,4042,11
1,4049,11
2,4049,11
3,4049,11
3,4049,11
4,4049,3
5,4049,11
5,4049,11
5,4049,11
5,4049,11
5,4049,11
5,4049,11
6,4049,9
6,4049,3
7,4049,11
7,4049,11
8,4049,9
8,4049,9
