nh,clust,Does_enterprise3_own_item
4,4002,1
5,4002,1.74980057982641e+100
5,4002,1.74980057982641e+100
5,4002,1.74980057982641e+100
6,4002,1.74980057982641e+100
7,4002,1.74980057982641e+100
7,4002,1.74980057982641e+100
9,4002,2
12,4002,1.74980057982641e+100
15,4002,1.74980057982641e+100
18,4002,1.74980057982641e+100
18,4002,1.74980057982641e+100
1,4005,1
4,4005,1
4,4005,2
4,4005,1
6,4005,1
6,4005,1.74980057982641e+100
7,4005,1
9,4005,2
9,4005,2
10,4005,1.74980057982641e+100
11,4005,1.74980057982641e+100
13,4005,1.74980057982641e+100
14,4005,1.74980057982641e+100
14,4005,1.74980057982641e+100
14,4005,1
14,4005,1
15,4005,1.74980057982641e+100
15,4005,2
18,4005,1
18,4005,1.74980057982641e+100
20,4005,1.74980057982641e+100
20,4005,1
5,4009,1.74980057982641e+100
7,4009,1.74980057982641e+100
7,4009,1.74980057982641e+100
12,4009,1.74980057982641e+100
12,4009,1.74980057982641e+100
15,4009,1
19,4009,1.74980057982641e+100
19,4009,1.74980057982641e+100
21,4009,2
6,4012,1.74980057982641e+100
7,4012,1.74980057982641e+100
12,4012,1.74980057982641e+100
18,4012,1.74980057982641e+100
19,4012,1.74980057982641e+100
20,4012,1.74980057982641e+100
2,4015,1.74980057982641e+100
2,4015,1.74980057982641e+100
4,4015,1.74980057982641e+100
5,4015,1.74980057982641e+100
7,4015,1.74980057982641e+100
12,4015,1.74980057982641e+100
13,4015,1.74980057982641e+100
14,4015,1.74980057982641e+100
19,4015,1.74980057982641e+100
19,4015,1.74980057982641e+100
21,4015,1.74980057982641e+100
7,4019,1
9,4019,1
10,4019,1
14,4019,2
18,4019,1
20,4019,1
2,4022,1
2,4022,1.74980057982641e+100
4,4022,1
4,4022,1
5,4022,2
6,4022,1.74980057982641e+100
6,4022,1.74980057982641e+100
9,4022,1.74980057982641e+100
10,4022,1.74980057982641e+100
11,4022,1.74980057982641e+100
11,4022,1
11,4022,1.74980057982641e+100
13,4022,1
13,4022,1
16,4022,2
17,4022,1
17,4022,1
19,4022,2
19,4022,1
19,4022,2
5,4025,1.74980057982641e+100
5,4025,1.74980057982641e+100
5,4025,1.74980057982641e+100
5,4025,1.74980057982641e+100
5,4025,1.74980057982641e+100
5,4025,1.74980057982641e+100
5,4025,1.74980057982641e+100
5,4025,1.74980057982641e+100
5,4025,1.74980057982641e+100
8,4025,1
9,4025,1.74980057982641e+100
10,4025,2
11,4025,1.74980057982641e+100
12,4025,1
18,4025,1
20,4025,1
1,4029,1
1,4029,1.74980057982641e+100
8,4029,1
8,4029,1.74980057982641e+100
11,4029,1
11,4029,2
14,4029,1.74980057982641e+100
18,4029,1.74980057982641e+100
3,4032,2
4,4032,1
7,4032,2
8,4032,2
9,4032,2
10,4032,2
12,4032,2
15,4032,2
17,4032,2
19,4032,2
20,4032,1.74980057982641e+100
2,4035,2
14,4035,1.74980057982641e+100
15,4035,1.74980057982641e+100
16,4035,1.74980057982641e+100
19,4035,1.74980057982641e+100
3,4039,1
4,4039,1.74980057982641e+100
5,4039,1
9,4039,1.74980057982641e+100
9,4039,1
10,4039,1.74980057982641e+100
13,4039,1.74980057982641e+100
14,4039,1.74980057982641e+100
16,4039,1.74980057982641e+100
1,4042,1
1,4042,1
2,4042,1.74980057982641e+100
3,4042,1.74980057982641e+100
3,4042,1.74980057982641e+100
5,4042,2
9,4042,1.74980057982641e+100
9,4042,1
9,4042,1
11,4042,1.74980057982641e+100
12,4042,2
13,4042,1.74980057982641e+100
15,4042,1.74980057982641e+100
16,4042,2
20,4042,2
3,4044,1.74980057982641e+100
8,4044,1.74980057982641e+100
8,4044,1.74980057982641e+100
10,4044,1.74980057982641e+100
17,4044,1.74980057982641e+100
1,4049,1.74980057982641e+100
5,4049,1.74980057982641e+100
10,4049,1
10,4049,1.74980057982641e+100
12,4049,1
12,4049,1.74980057982641e+100
13,4049,1
15,4049,1.74980057982641e+100
16,4049,2
17,4049,1.74980057982641e+100
18,4049,2
18,4049,1
19,4049,1.74980057982641e+100
20,4049,1.74980057982641e+100
1,4052,1.74980057982641e+100
3,4052,1.74980057982641e+100
5,4052,1.74980057982641e+100
6,4052,1.74980057982641e+100
9,4052,1.74980057982641e+100
10,4052,1.74980057982641e+100
11,4052,1
12,4052,1
12,4052,1.74980057982641e+100
15,4052,1.74980057982641e+100
16,4052,1.74980057982641e+100
17,4052,2
17,4052,1.74980057982641e+100
19,4052,1.74980057982641e+100
20,4052,1
1,4055,1
11,4055,1.74980057982641e+100
11,4055,1.74980057982641e+100
15,4055,1.74980057982641e+100
17,4055,1.74980057982641e+100
17,4055,1.74980057982641e+100
20,4055,1.74980057982641e+100
20,4055,1.74980057982641e+100
2,4059,1
5,4059,2
8,4059,1.74980057982641e+100
15,4059,2
19,4059,2
20,4059,2
1,4062,1.74980057982641e+100
1,4062,1.74980057982641e+100
2,4062,1.74980057982641e+100
2,4062,1.74980057982641e+100
4,4062,2
5,4062,1
5,4062,1
6,4062,1.74980057982641e+100
7,4062,2
8,4062,1.74980057982641e+100
8,4062,1.74980057982641e+100
13,4062,1
19,4062,1.74980057982641e+100
19,4062,1.74980057982641e+100
20,4062,2
20,4062,1.74980057982641e+100
20,4062,1.74980057982641e+100
3,4065,1
10,4065,1
17,4065,1
17,4065,1.74980057982641e+100
7,4069,1.74980057982641e+100
14,4069,2
1,4072,1.74980057982641e+100
1,4072,1.74980057982641e+100
5,4072,1.74980057982641e+100
11,4072,2
4,4075,1.74980057982641e+100
6,4075,1.74980057982641e+100
9,4075,1.74980057982641e+100
16,4075,1.74980057982641e+100
18,4075,1.74980057982641e+100
20,4075,1.74980057982641e+100
20,4075,1.74980057982641e+100
1,4079,2
2,4079,1
3,4079,2
3,4079,2
5,4079,2
6,4079,1
6,4079,2
7,4079,2
7,4079,2
7,4079,2
8,4079,2
9,4079,2
11,4079,2
12,4079,2
13,4079,2
14,4079,2
16,4079,2
18,4079,2
19,4079,1
20,4079,2
20,4079,2
1,4081,1.74980057982641e+100
2,4081,1.74980057982641e+100
3,4081,1.74980057982641e+100
6,4081,1.74980057982641e+100
12,4081,1.74980057982641e+100
19,4081,1.74980057982641e+100
3,4084,1.74980057982641e+100
3,4084,1
3,4084,1.74980057982641e+100
3,4084,1.74980057982641e+100
3,4084,1.74980057982641e+100
9,4084,2
9,4084,1.74980057982641e+100
9,4084,1.74980057982641e+100
10,4084,1.74980057982641e+100
10,4084,1
11,4084,2
13,4084,2
14,4084,2
16,4084,1.74980057982641e+100
20,4084,1.74980057982641e+100
20,4084,1.74980057982641e+100
1,4089,2
4,4089,2
7,4089,2
9,4089,2
12,4089,2
14,4089,2
16,4089,2
19,4089,2
1,4092,1.74980057982641e+100
1,4092,1.74980057982641e+100
1,4092,1
2,4092,1
4,4092,1.74980057982641e+100
4,4092,1
4,4092,1.74980057982641e+100
4,4092,1.74980057982641e+100
6,4092,1.74980057982641e+100
6,4092,1.74980057982641e+100
6,4092,1.74980057982641e+100
6,4092,1.74980057982641e+100
7,4092,1.74980057982641e+100
7,4092,1
8,4092,1.74980057982641e+100
10,4092,1.74980057982641e+100
10,4092,1.74980057982641e+100
10,4092,1.74980057982641e+100
11,4092,1.74980057982641e+100
12,4092,1.74980057982641e+100
13,4092,1.74980057982641e+100
13,4092,1.74980057982641e+100
13,4092,1.74980057982641e+100
13,4092,1.74980057982641e+100
14,4092,1.74980057982641e+100
14,4092,1.74980057982641e+100
15,4092,1.74980057982641e+100
15,4092,1.74980057982641e+100
15,4092,1.74980057982641e+100
15,4092,1.74980057982641e+100
16,4092,1.74980057982641e+100
16,4092,1.74980057982641e+100
18,4092,1.74980057982641e+100
18,4092,1.74980057982641e+100
18,4092,1
19,4092,1.74980057982641e+100
19,4092,1.74980057982641e+100
19,4092,1.74980057982641e+100
20,4092,1.74980057982641e+100
20,4092,1.74980057982641e+100
8,4095,1.74980057982641e+100
10,4095,1.74980057982641e+100
6,4099,1.74980057982641e+100
6,4099,1.74980057982641e+100
7,4099,1.74980057982641e+100
7,4099,1.74980057982641e+100
8,4099,1.74980057982641e+100
8,4099,1.74980057982641e+100
11,4099,1.74980057982641e+100
11,4099,1.74980057982641e+100
11,4099,1.74980057982641e+100
11,4099,1.74980057982641e+100
11,4099,1
11,4099,1
11,4099,1
12,4099,1.74980057982641e+100
13,4099,1
19,4099,1
1,4102,1
1,4102,2
1,4102,2
4,4102,1.74980057982641e+100
7,4102,1.74980057982641e+100
8,4102,1
8,4102,1.74980057982641e+100
9,4102,1.74980057982641e+100
10,4102,2
11,4102,2
11,4102,1.74980057982641e+100
11,4102,1.74980057982641e+100
12,4102,1.74980057982641e+100
14,4102,1.74980057982641e+100
14,4102,1.74980057982641e+100
14,4102,1
16,4102,1.74980057982641e+100
16,4102,1.74980057982641e+100
17,4102,1.74980057982641e+100
19,4102,1.74980057982641e+100
19,4102,1.74980057982641e+100
21,4102,1.74980057982641e+100
21,4102,1.74980057982641e+100
3,4105,1
3,4105,1
4,4105,1
5,4105,1
6,4105,1.74980057982641e+100
6,4105,1
6,4105,2
11,4105,1
11,4105,2
14,4105,1.74980057982641e+100
14,4105,1.74980057982641e+100
18,4105,2
21,4105,1.74980057982641e+100
21,4105,1
21,4105,1
1,4109,1.74980057982641e+100
6,4109,1.74980057982641e+100
10,4109,1.74980057982641e+100
14,4109,1
18,4109,2
18,4109,1.74980057982641e+100
1,4112,1.74980057982641e+100
2,4112,1
3,4112,1
3,4112,2
