nh,clust,Amount_withdrawn_from_savings
1,4002,1.74980057982641e+100
2,4002,1.74980057982641e+100
3,4002,1.74980057982641e+100
4,4002,0
4,4002,0
5,4002,0
6,4002,0
7,4002,1.74980057982641e+100
8,4002,1.74980057982641e+100
9,4002,1.74980057982641e+100
9,4002,1.74980057982641e+100
10,4002,1.74980057982641e+100
11,4002,1.74980057982641e+100
12,4002,0
13,4002,1.74980057982641e+100
14,4002,1.74980057982641e+100
15,4002,1.74980057982641e+100
16,4002,1.74980057982641e+100
16,4002,1.74980057982641e+100
17,4002,0
18,4002,1.74980057982641e+100
19,4002,1.74980057982641e+100
20,4002,1.74980057982641e+100
1,4005,1.74980057982641e+100
2,4005,1.74980057982641e+100
3,4005,1.74980057982641e+100
4,4005,1.74980057982641e+100
5,4005,1.74980057982641e+100
6,4005,1.74980057982641e+100
7,4005,6e+05
8,4005,0
9,4005,0
10,4005,1.74980057982641e+100
11,4005,0
12,4005,1.74980057982641e+100
13,4005,350000
14,4005,1.4e+07
15,4005,1.74980057982641e+100
16,4005,0
17,4005,0
18,4005,1.74980057982641e+100
20,4005,8e+05
20,4005,0
1,4009,1.74980057982641e+100
2,4009,1.74980057982641e+100
3,4009,1.74980057982641e+100
4,4009,1.74980057982641e+100
5,4009,0
6,4009,1.74980057982641e+100
7,4009,10000
8,4009,1.74980057982641e+100
9,4009,1.74980057982641e+100
11,4009,1.74980057982641e+100
12,4009,1.74980057982641e+100
13,4009,1.74980057982641e+100
14,4009,1.74980057982641e+100
15,4009,150000
16,4009,1.74980057982641e+100
17,4009,1.74980057982641e+100
18,4009,1.74980057982641e+100
19,4009,1.74980057982641e+100
20,4009,0
21,4009,0
1,4012,0
2,4012,360000
3,4012,1.74980057982641e+100
5,4012,0
6,4012,0
7,4012,0
8,4012,1.74980057982641e+100
9,4012,1.74980057982641e+100
10,4012,1.74980057982641e+100
11,4012,1.74980057982641e+100
12,4012,1080000
13,4012,1.74980057982641e+100
14,4012,1.74980057982641e+100
15,4012,1.74980057982641e+100
16,4012,1.74980057982641e+100
17,4012,1.74980057982641e+100
18,4012,1.74980057982641e+100
19,4012,1.74980057982641e+100
20,4012,1.74980057982641e+100
2,4015,4e+05
4,4015,5e+05
11,4015,0
13,4015,3e+05
15,4015,0
17,4015,0
19,4015,0
20,4015,3e+05
1,4019,0
9,4022,80000
15,4022,30000
15,4022,40000
1,4025,0
2,4025,1.74980057982641e+100
2,4025,1.74980057982641e+100
5,4025,10000
8,4025,0
20,4025,0
4,4032,0
10,4032,0
10,4032,0
15,4032,90000
15,4032,0
1,4035,0
2,4035,70000
11,4035,0
11,4035,8e+05
11,4035,0
19,4035,0
5,4039,30000
8,4039,0
1,4042,0
7,4042,0
9,4042,115000
10,4042,2e+05
10,4042,140000
12,4042,4e+05
4,4049,0
9,4049,0
10,4049,1e+05
16,4049,0
17,4049,0
18,4049,1e+05
20,4049,45000
6,4052,5e+05
11,4052,340000
11,4052,680000
12,4052,520000
17,4052,9e+05
19,4052,480000
11,4055,0
25,4055,1e+06
3,4059,8e+06
6,4059,780000
16,4059,780000
20,4059,0
1,4062,60000
3,4062,0
5,4062,3e+05
11,4062,504000
14,4062,6e+05
17,4062,0
17,4065,50000
2,4069,50000
7,4069,8e+05
10,4069,0
12,4069,1e+05
14,4069,0
16,4069,45000
10,4072,80000
11,4072,1400000
15,4072,0
16,4072,0
18,4072,0
5,4075,0
2,4079,60000
3,4079,308000
7,4079,4e+05
9,4079,54000
11,4079,140000
12,4079,0
14,4079,280000
16,4079,470000
20,4079,120000
20,4079,60000
1,4081,80000
4,4081,0
6,4081,0
10,4081,0
15,4081,0
11,4084,0
4,4092,0
6,4092,120000
13,4092,1e+05
13,4092,80000
13,4092,120000
2,4099,880000
7,4099,1500000
15,4099,0
1,4102,1.74980057982641e+100
2,4102,1.74980057982641e+100
3,4102,1.74980057982641e+100
4,4102,1.74980057982641e+100
5,4102,1.74980057982641e+100
6,4102,1.74980057982641e+100
7,4102,1.74980057982641e+100
8,4102,0
8,4102,0
9,4102,1.74980057982641e+100
10,4102,0
11,4102,1.74980057982641e+100
12,4102,1.74980057982641e+100
12,4102,1.74980057982641e+100
14,4102,60000
15,4102,1.74980057982641e+100
16,4102,1.74980057982641e+100
17,4102,1.74980057982641e+100
18,4102,1.74980057982641e+100
19,4102,1.74980057982641e+100
20,4102,1.74980057982641e+100
21,4102,360000
1,4105,3e+05
2,4105,1.74980057982641e+100
3,4105,1.74980057982641e+100
4,4105,1.74980057982641e+100
5,4105,1.74980057982641e+100
6,4105,1e+06
7,4105,1.74980057982641e+100
8,4105,1.74980057982641e+100
9,4105,1.74980057982641e+100
10,4105,1.74980057982641e+100
11,4105,360000
13,4105,1.74980057982641e+100
16,4105,1.74980057982641e+100
17,4105,1.74980057982641e+100
18,4105,1.74980057982641e+100
19,4105,1800000
20,4105,110000
21,4105,1.74980057982641e+100
22,4105,1.74980057982641e+100
1,4109,1.74980057982641e+100
2,4109,1200000
2,4109,3e+05
3,4109,1.74980057982641e+100
4,4109,5e+05
5,4109,0
10,4109,1.74980057982641e+100
10,4109,1.74980057982641e+100
13,4109,240000
16,4109,4e+05
18,4109,1e+06
19,4109,1.74980057982641e+100
20,4109,6e+05
3,4112,0
16,4112,30000
15,4115,80000
16,4115,40000
1,4119,0
3,4119,0
15,4119,0
11,4125,40000
14,4125,5000
14,4125,500
16,4129,0
17,4129,150000
18,4129,0
19,4129,120000
3,4132,0
14,4132,0
15,4134,0
16,4134,35000
20,4134,160000
4,4139,4e+05
4,4139,30000
4,4139,0
6,4139,20000
7,4139,0
9,4139,0
10,4139,0
12,4139,0
13,4139,0
13,4139,0
15,4139,0
15,4139,0
16,4139,0
18,4139,0
20,4139,0
20,4139,0
2,4142,0
10,4142,0
11,4142,1e+05
13,4142,6e+05
15,4142,5e+06
21,4142,3e+05
2,4145,2137500
3,4145,250000
4,4145,1e+05
5,4145,150000
19,4145,282000
1,4149,0
6,4149,20000
10,4149,20000
12,4149,50000
13,4149,2e+05
20,4149,0
20,4149,349000
1,4152,5e+05
2,4152,4e+05
3,4152,5e+05
4,4152,7e+05
6,4152,120000
8,4152,60000
9,4152,3e+05
10,4152,1e+05
12,4152,0
14,4152,3e+05
15,4152,0
17,4152,350000
18,4152,20000
18,4152,0
19,4152,0
20,4152,5e+05
5,4155,580000
8,4155,340000
2,4159,15000
8,4159,320000
10,4159,0
14,4159,0
17,4159,20000
1,4162,1e+05
2,4162,1.74980057982641e+100
3,4162,1.74980057982641e+100
4,4162,1e+05
4,4162,7e+05
5,4162,7e+05
6,4162,1e+05
7,4162,0
8,4162,0
8,4162,20000
9,4162,1.74980057982641e+100
10,4162,5000
11,4162,1.74980057982641e+100
12,4162,1.74980057982641e+100
13,4162,5e+05
14,4162,2e+05
15,4162,1.74980057982641e+100
16,4162,1.74980057982641e+100
17,4162,1.74980057982641e+100
18,4162,1.74980057982641e+100
19,4162,1.74980057982641e+100
20,4162,0
2,4165,0
2,4165,1600000
2,4165,0
2,4165,0
2,4165,0
2,4165,0
3,4165,0
3,4165,1e+06
4,4165,1200000
5,4165,1600000
6,4165,1150000
7,4165,4e+05
8,4165,1.74980057982641e+100
9,4165,1500000
10,4165,1.74980057982641e+100
11,4165,1.74980057982641e+100
12,4165,50000
13,4165,0
14,4165,1800000
15,4165,2400000
16,4165,0
16,4165,1e+05
17,4165,2e+05
17,4165,54000
17,4165,0
17,4165,0
17,4165,0
19,4165,1.74980057982641e+100
20,4165,0
20,4165,660000
21,4165,1.74980057982641e+100
22,4165,3e+06
1,4169,330000
2,4169,360000
3,4169,1.74980057982641e+100
4,4169,1.74980057982641e+100
5,4169,1800000
6,4169,1.74980057982641e+100
7,4169,1.74980057982641e+100
8,4169,0
9,4169,0
10,4169,1.74980057982641e+100
11,4169,1.74980057982641e+100
12,4169,1.74980057982641e+100
13,4169,1.74980057982641e+100
14,4169,1.74980057982641e+100
15,4169,1.74980057982641e+100
16,4169,1.74980057982641e+100
17,4169,1.74980057982641e+100
18,4169,1.74980057982641e+100
19,4169,1.74980057982641e+100
20,4169,1.74980057982641e+100
2,4172,0
3,4172,150000
6,4172,1.74980057982641e+100
11,4172,1.74980057982641e+100
