"","clust","nh","land_in_acre","agri1c","profit_per_acre"
"1",4002,11,0.075,37235.7142857143,496476.19047619
"2",4002,12,0.025,439485.714285714,17579428.5714286
"3",4002,17,0.0625,338761.666666667,5420186.66666667
"4",4002,4,0.05509644,7707404.28571429,139889333.788431
"5",4002,9,0.0125,586997.5,46959800
"6",4005,1,0.05,2092506.66666667,41850133.3333333
"7",4005,11,10,10304467,1030446.7
"8",4005,12,0.05,31091.4285714286,621828.571428571
"9",4005,14,0.05,1636241.27484384,32724825.4968768
"10",4005,16,0.01875,1892972.74720418,100958546.517557
"11",4005,17,0.25,120133.333333333,480533.333333333
"12",4005,19,0.125,3196010.47619048,25568083.8095238
"13",4005,20,0.125,2162668.57142857,17301348.5714286
"14",4005,8,0.025,819996.666666667,32799866.6666667
"15",4009,1,5,1153542.5,230708.5
"16",4009,13,0.11019288,1858308.69047619,16864144.8565115
"17",4009,15,5,0,0
"18",4009,2,6,0,0
"19",4009,3,0.05509644,2519400.37325628,45727099.1239412
"20",4009,6,0.03673096,2827558.65881423,76980254.7718391
"21",4009,8,0.03673096,1028626.66666667,28004350.1903208
"22",4009,9,10,3891546.19047619,389154.619047619
"23",4012,3,0.01875,1460000,77866666.6666667
"24",4015,13,0.025,-118500,-4740000
"25",4019,15,6,3363961.42857143,560660.238095238
"26",4019,20,0.00625,613066.666666667,98090666.6666667
"27",4039,4,0.00918274,858770.882238096,93520112.976965
"28",4039,5,0.00625,382135.5,61141680
"29",4039,7,0.00625,557110.666666667,89137706.6666667
"30",4039,9,0.00625,940015.714285714,150402514.285714
"31",4042,10,191,1109875.22619048,5810.86505858888
"32",4042,16,0.0625,-54990,-879840
"33",4042,18,20,170947.471453896,8547.37357269478
"34",4042,2,30,197729.916666667,6590.99722222222
"35",4044,1,5,2386810.71428571,477362.142857143
"36",4044,11,4,642641.428571429,160660.357142857
"37",4044,12,15,-54700,-3646.66666666667
"38",4044,15,2,6514.28571428571,3257.14285714286
"39",4044,16,1,36694.2857142857,36694.2857142857
"40",4044,17,6,113114.285714286,18852.380952381
"41",4044,18,4,968274.285714286,242068.571428571
"42",4044,19,12,899818.571428571,74984.880952381
"43",4044,20,1,702.857142857141,702.857142857141
"44",4044,5,6,251714.285714286,41952.380952381
"45",4049,16,0.00625,1303784.71428571,208605554.285714
"46",4049,17,0.01875,476009.233333333,25387159.1111111
"47",4049,4,10,2857023.71428571,285702.371428571
"48",4049,5,0.0625,679908.866666667,10878541.8666667
"49",4049,9,0.00625,920864.595238095,147338335.238095
"50",4055,10,1,493698.571428571,493698.571428571
"51",4055,11,0.1,9154034.52380952,91540345.2380952
"52",4055,12,0.01875,971315.714285714,51803504.7619048
"53",4055,13,0.00625,3282588.0952381,525214095.238095
"54",4055,18,0.00625,3808783.33333333,609405333.333333
"55",4055,2,0.0125,4442301.42857143,355384114.285714
"56",4055,25,0.01875,3763633.80952381,200727136.507936
"57",4059,1,3,-170000,-56666.6666666667
"58",4059,10,4,-196000,-49000
"59",4059,11,3,-92990.5172413793,-30996.8390804598
"60",4059,14,2,773414.285714286,386707.142857143
"61",4059,16,2,-227901.785714286,-113950.892857143
"62",4059,2,4,-85107.1428571429,-21276.7857142857
"63",4059,3,4,-419640.501253133,-104910.125313283
"64",4059,7,4,-122000,-30500
"65",4059,8,6,-159821.428571429,-26636.9047619048
"66",4059,9,10,-795120.40018315,-79512.040018315
"67",4062,10,3,-104000,-34666.6666666667
"68",4062,11,5,630735.144307744,126147.028861549
"69",4062,12,3,38000,12666.6666666667
"70",4062,14,0.03125,850000,27200000
"71",4062,16,5,625000,125000
"72",4062,17,16,2423195.22857143,151449.701785714
"73",4062,20,1,-20175,-20175
"74",4062,3,4,3488267.58380392,872066.895950979
"75",4062,6,1,-34986.6666666667,-34986.6666666667
"76",4062,7,2,1e+05,50000
"77",4062,8,5,-28000,-5600
"78",4065,1,3,376292.380952381,125430.793650794
"79",4065,14,250,76770.7246376812,307.082898550725
"80",4065,15,2,1028145.83333333,514072.916666667
"81",4065,2,2,471647.619047619,235823.80952381
"82",4065,3,63,1162942.85714286,18459.410430839
"83",4065,7,0.05625,703548.75,12507533.3333333
"84",4065,9,200,670659.285714286,3353.29642857143
"85",4069,10,0.3673096,2627970,7154645.56330681
"86",4069,16,1,5574128.80952381,5574128.80952381
"87",4069,2,35,1834043.0952381,52401.231292517
"88",4069,3,0.2295685,334050,1455121.2383232
"89",4069,9,0.16528932,1258444,7613583.26115686
"90",4072,11,1,-1852217.85714286,-1852217.85714286
"91",4072,4,1,-98525.7142857143,-98525.7142857143
"92",4075,10,0.05509644,5197714.23809524,94338477.0067765
"93",4075,11,0.00918274,2463675.66666667,268294176.538448
"94",4075,12,0.00918274,2538648.80952381,276458748.644066
"95",4075,13,0.00918274,3732024.28571429,406417287.837213
"96",4075,14,0.00918274,5096872.35714286,555049185.443872
"97",4075,15,0.02754822,1732012.0952381,62872014.7885452
"98",4075,18,0.01836548,2897429.85714286,157764994.824141
"99",4075,19,0.02754822,17156926.9047619,622796206.243522
"100",4075,20,0.01836548,7878264.14285714,428971316.995643
"101",4075,5,0.03673096,2834858.54761905,77178994.1678368
"102",4075,6,0.01836548,1990728.57142857,108395128.873766
"103",4075,9,0.03673096,2923334.28571429,79587745.2077018
"104",4079,1,13,926268.333333333,71251.4102564103
"105",4079,10,2,179000,89500
"106",4079,12,28,7061760,252205.714285714
"107",4079,13,15,394475.974920635,26298.3983280423
"108",4079,14,1,-13000,-13000
"109",4079,15,0.125,680950,5447600
